rxnid,min,max,median,all individual values,,,
3OAR140_c,15.532749725007195,2090.137196691179,34.65621287952732,[2090.137196691179, 35.27964916650235, 15.532749725007195, 34.032776592552274]
3OAR160_c,15.532749725007195,2090.137196691179,34.65621287952732,[2090.137196691179, 35.27964916650235, 15.532749725007195, 34.032776592552274]
3OAR180_c,15.532749725007195,2090.137196691179,34.65621287952732,[2090.137196691179, 35.27964916650235, 15.532749725007195, 34.032776592552274]
3OAR40_c,15.532749725007195,2090.137196691179,34.65621287952732,[2090.137196691179, 35.27964916650235, 15.532749725007195, 34.032776592552274]
3OAR60_c,15.532749725007195,2090.137196691179,34.65621287952732,[2090.137196691179, 35.27964916650235, 15.532749725007195, 34.032776592552274]
3OAR80_c,15.532749725007195,2090.137196691179,34.65621287952732,[2090.137196691179, 35.27964916650235, 15.532749725007195, 34.032776592552274]
3OAS100_c,2090.137196691179,2090.137196691179,2090.137196691179,[2090.137196691179],,,
3OAS120_c,2090.137196691179,2090.137196691179,2090.137196691179,[2090.137196691179],,,
3OAS140_c,2090.137196691179,2090.137196691179,2090.137196691179,[2090.137196691179],,,
3OAS160_c,2090.137196691179,2090.137196691179,2090.137196691179,[2090.137196691179],,,
3OAS180_c,2090.137196691179,2090.137196691179,2090.137196691179,[2090.137196691179],,,
3OAS40_c,2090.137196691179,2090.137196691179,2090.137196691179,[2090.137196691179],,,
3OAS60_c,2090.137196691179,2090.137196691179,2090.137196691179,[2090.137196691179],,,
3OAS80_c,2090.137196691179,2090.137196691179,2090.137196691179,[2090.137196691179],,,
4DPMIPPH_c,5.521737137329115e-16,5.521737137329115e-16,5.521737137329115e-16,[5.521737137329115e-16],,,
AASADy_c,27.195407555300857,27.195407555300857,27.195407555300857,[27.195407555300857],,,
AATA_c,1.889526490277198,96.16460347882573,1.889526490277198,[96.16460347882573, 1.889526490277198, 1.889526490277198],
ABTA_c,0.001194734,0.001194734,0.001194734,[0.0011947336881789046, 0.0011947336881789046],,
ABTD2Dx_c,60.07718974067049,60.07718974067049,60.07718974067049,[60.07718974067049],,,
ABTD4Dx_c,60.07718974067049,60.07718974067049,60.07718974067049,[60.07718974067049],,,
ACACT40ir_c,0.5261272403531523,0.5261272403531523,0.5261272403531523,[0.5261272403531523],,,
ACCOAC_c,1159.5231261716217,1159.5231261716217,1159.5231261716217,[1159.5231261716217],,,
ACCOATsucac_m,219.13894289617824,219.13894289617824,219.13894289617824,[219.13894289617824],,,
ACGAM6PS_c,5.205125909609185e-16,5.205125909609185e-16,5.205125909609185e-16,[5.205125909609185e-16],,,
ACGK_m,5.501672927658015,5.501672927658015,5.501672927658015,[5.501672927658015],,,
ACHBS_m,5.700342551983247,31547332.582855284,15773669.141598918,[31547332.582855284, 5.700342551983247],,
ACITL_c,273.9249925185562,273.9249925185562,273.9249925185562,[273.9249925185562],,,
ACKr_c,521.7022768091169,521.7022768091169,521.7022768091169,[521.7022768091169],,,
ACLS_m,5.700342551983247,31547332.582855284,15773669.141598918,[31547332.582855284, 5.700342551983247],,
ACOADS180_rm,35.75766329984859,35.75766329984859,35.75766329984859,[35.75766329984859],,,
ACOADS181_rm,325.13857534027886,325.13857534027886,325.13857534027886,[325.13857534027886],,,
ACOADS182_rm,325.13857534027886,325.13857534027886,325.13857534027886,[325.13857534027886],,,
ACOADm30f_m,1.339225199832179e-15,1.339225199832179e-15,1.339225199832179e-15,[1.339225199832179e-15],,,
ACOATA_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
ACOATA_m,1.2617207263409355e-15,1.2617207263409355e-15,1.2617207263409355e-15,[1.2617207263409355e-15],,,
ACONT2_m,5.383952098771232e-16,5.383952098771232e-16,5.383952098771232e-16,[5.383952098771232e-16],,,
ACONTa_m,39.068282588163555,996.9254521791881,517.9968673836759,[996.9254521791881, 39.068282588163555],,
ACONTb_m,39.068282588163555,996.9254521791881,517.9968673836759,[996.9254521791881, 39.068282588163555],,
ACOTAi_m,6.4674814683005755,6.4674814683005755,6.4674814683005755,[6.4674814683005755],,,
ACRNt_c_m,0.2575335060340253,0.2575335060340253,0.2575335060340253,[0.2575335060340253],,,
ACS_c,5.057337654528963,5.057337654528963,5.057337654528963,[5.057337654528963, 5.057337654528963],,
ACt_c_m,74.78322655219154,74.78322655219154,74.78322655219154,[74.78322655219154],,,
ADK1_c,5.337623480457181,5.337623480457181,5.337623480457181,[5.337623480457181, 5.337623480457181],,
ADNK1_c,0.13116433154052198,0.13116433154052198,0.13116433154052198,[0.13116433154052198],,,
ADPATPt_c_m,32.322634457386485,32.322634457386485,32.322634457386485,[32.322634457386485],,,
ADSK_c,0.11940472154204075,0.11940472154204075,0.11940472154204075,[0.11940472154204075],,,
ADSL1r_c,8.107419138,8.107419138,8.107419138,[8.10741913792564],,,
ADSL2i_c,8.107419138,8.107419138,8.107419138,[8.10741913792564],,,
ADSS_c,3.554084690132003,3.554084690132003,3.554084690132003,[3.554084690132003],,,
AGPAT_l,0.26826022668788585,0.26826022668788585,0.26826022668788585,[0.26826022668788585, 0.26826022668788585],,
AGPAT_rm,6.145994049653781,6.145994049653781,6.145994049653781,[6.145994049653781],,,
AGPRi_m,5.501672927658015,5.501672927658015,5.501672927658015,[5.501672927658015],,,
AHCi_c,0.021122401440630722,0.021122401440630722,0.021122401440630722,[0.021122401440630722],,,
AHSERL2_c,1.5162120238676324,1.5162120238676324,1.5162120238676324,[1.5162120238676324],,,
AICART_c,2.7453726137328496,2.7453726137328496,2.7453726137328496,[2.7453726137328496],,,
AIRC1_c,10.543357872607729,10.543357872607729,10.543357872607729,[10.543357872607729],,,
AKGCITta_m,2.4713431121154645,2.4713431121154645,2.4713431121154645,[2.4713431121154645],,,
AKGDH_m,129.23532703984466,129.23532703984466,129.23532703984466,[129.23532703984466, 129.23532703984466],,
AKGMALta_m,15.33003294390648,15.33003294390648,15.33003294390648,[15.33003294390648],,,
ALAS_m,0.027293280998019507,0.027293280998019507,0.027293280998019507,[0.027293280998019507],,,
ALATA_L_m,13.152728505897695,13.152728505897695,13.152728505897695,[13.152728505897695],,,
ALATRS_c,4.706700759558793,4.706700759558793,4.706700759558793,[4.706700759558793],,,
ALDD2y_c,0.3309263321870998,0.3309263321870998,0.3309263321870998,[0.3309263321870998, 0.3309263321870998],,
ANPRT_c,2.8085360079129016,2.8085360079129016,2.8085360079129016,[2.8085360079129016],,,
ANS_c,4.743112174,4.743112174,4.743112174,[4.7431121738629],,,
ARGSL_c,1.7352980584139819,1.7352980584139819,1.7352980584139819,[1.7352980584139819],,,
ARGSS_c,0.6594940271973772,0.6594940271973772,0.6594940271973772,[0.6594940271973772],,,
ARGTRS_c,6.143970081909799,6.143970081909799,6.143970081909799,[6.143970081909799],,,
ASAD_c,1.886954486814425,1.886954486814425,1.886954486814425,[1.886954486814425],,,
ASNS1_c,0.5255339607455701,0.5255339607455701,0.5255339607455701,[0.5255339607455701],,,
ASNTRS_c,2.0198721343313117,2.0198721343313117,2.0198721343313117,[2.0198721343313117],,,
ASPCT_c,10.170997001753832,10.170997001753832,10.170997001753832,[10.170997001753832],,,
ASPK_c,5.321133720841883,5.321133720841883,5.321133720841883,[5.321133720841883],,,
ASPTA_c,53.801821262775015,53.801821262775015,53.801821262775015,[53.801821262775015],,,
ASPTA_x,4.928130757476612e-16,4.928130757476612e-16,4.928130757476612e-16,[4.928130757476612e-16, 4.928130757476612e-16],,
ASPTRS_c,1.426132569560889,1.426132569560889,1.426132569560889,[1.426132569560889],,,
ATPASEP2e_c,96.54767754190883,96.54767754190883,96.54767754190883,[96.54767754190883, 96.54767754190883],,
ATPPRT_c,0.4747023858495666,0.4747023858495666,0.4747023858495666,[0.4747023858495666],,,
ATPS_m,6098046168.869363,6098046168.869363,6098046168.869363,[6098046168.869363],,,
AVNORy_c,4.8762741360452475e-16,4.8762741360452475e-16,4.8762741360452475e-16,[4.8762741360452475e-16],,,
BPNT_c,2.185713083794389,2.185713083794389,2.185713083794389,[2.185713083794389],,,
BTDDH_c,5.057337655,5.057337655,5.057337655,[5.05733765452896],,,
BTS1_c,3.012031484076194e-16,3.012031484076194e-16,3.012031484076194e-16,[3.012031484076194e-16],,,
C22STDSy_c,7.842800599411707,7.842800599411707,7.842800599411707,[7.842800599411707],,,
C24STR_r,30.12977181,30.12977181,30.12977181,[30.1297718123066],,,
C3STDH1_c,1.3167691846645397,1.7791100567487481,1.5479396207066438,[1.7791100567487481, 1.3167691846645397],,
C3STDH2_c,1.3167691846645397,1.7791100567487481,1.5479396207066438,[1.7791100567487481, 1.3167691846645397],,
C4STMO1_c,106.66014185512529,106.66014185512529,106.66014185512529,[106.66014185512529],,,
C4STMO2_c,106.66014185512529,106.66014185512529,106.66014185512529,[106.66014185512529],,,
C4STMO3_c,106.66014185512529,106.66014185512529,106.66014185512529,[106.66014185512529],,,
C4STMO4_c,106.66014185512529,106.66014185512529,106.66014185512529,[106.66014185512529],,,
C8STI_c,2.5815846231594763,2.5815846231594763,2.5815846231594763,[2.5815846231594763],,,
CAT_c,5.057337654528962,5.057337654528962,5.057337654528962,[5.057337654528962],,,
CBMHL_c,4.2150159299639827e-16,4.2150159299639827e-16,4.2150159299639827e-16,[4.2150159299639827e-16],,,
CBPS_c,7.244901807209338,7.244901807209338,7.244901807209338,[7.244901807209338, 7.244901807209338],,
CDPDAGS_mm,95857.31187677417,95857.31187677417,95857.31187677417,[95857.31187677417],,,
CDPDAGS_rm,1.4539776130036015,1.4539776130036015,1.4539776130036015,[1.4539776130036015],,,
CHORM_c,22.00448411743817,22.00448411743817,22.00448411743817,[22.00448411743817],,,
CHORS_c,1.241563094007344,1.241563094007344,1.241563094007344,[1.241563094007344],,,
CITMALta_m,156.76003068326563,156.76003068326563,156.76003068326563,[156.76003068326563],,,
CMUCOC_c,3.938509173866127e-16,3.938509173866127e-16,3.938509173866127e-16,[3.938509173866127e-16],,,
CPPPGO_c,0.000214596,0.000214596,0.000214596,[0.00021459626829251584],,,
CRNOAT_c,5.057337654528963,5.057337654528963,5.057337654528963,[5.057337654528963],,,
CRNOAT_m,0.21051507529455046,0.21051507529455046,0.21051507529455046,[0.21051507529455046, 0.21051507529455046],,
CRNt_c_m,0.2575335060340253,0.2575335060340253,0.2575335060340253,[0.2575335060340253],,,
CS_m,5.057337661576248,5.057337661576248,5.057337661576248,[5.057337661576248, 5.057337661576248, 5.057337661576248],
CTPS2_c,1.0806806700862297,1.0806806700862297,1.0806806700862297,[1.0806806700862297],,,
CTPt2_m,0.2928377077928828,0.2928377077928828,0.2928377077928828,[0.2928377077928828],,,
CYSS_c,0.1882936408961732,0.1882936408961732,0.1882936408961732,[0.1882936408961732],,,
CYSTGL_c,5.057337655,5.057337655,5.057337655,[5.05733765452896],,,
CYSTRS_c,4.0830413581673275,4.0830413581673275,4.0830413581673275,[4.0830413581673275],,,
CYSTS_c,0.6641946850412859,0.6641946850412859,0.6641946850412859,[0.6641946850412859],,,
DB4PS_c,0.079585246,0.079585246,0.079585246,[0.07958524587737163],,,
DCMPDA_c,0.08832912,0.08832912,0.08832912,[0.08832911974941547],,,
DDPA_c,1.1194647349224713,1.1194647349224713,1.1194647349224713,[1.1194647349224713, 1.1194647349224713],,
DGLCND3H_c,9.250692430231303e-16,9.250692430231303e-16,9.250692430231303e-16,[9.250692430231303e-16],,,
DHAD1_m,5.084907681204777,5.084907681204777,5.084907681204777,[5.084907681204777],,,
DHAD2_m,5.084907681204777,5.084907681204777,5.084907681204777,[5.084907681204777],,,
DHFRi_c,0.7955936339084266,0.7955936339084266,0.7955936339084266,[0.7955936339084266],,,
DHORTS_c,7.292498075606792,7.292498075606792,7.292498075606792,[7.292498075606792],,,
DHPPDA2_c,0.045403137,0.045403137,0.045403137,[0.04540313707829161],,,
DHQS_c,139.41098729780074,139.41098729780074,139.41098729780074,[139.41098729780074],,,
DHQTi_c,19.586528819452848,139.41098729780074,79.49875805862679,[139.41098729780074, 19.586528819452848],,
DMATT_c,4.438427138494241,4.438427138494241,4.438427138494241,[4.438427138494241],,,
DOLPMMT_r,3149.2284650893935,3149.2284650893935,3149.2284650893935,[3149.2284650893935],,,
DOLPMT_c,46.293368741020885,46.293368741020885,46.293368741020885,[46.293368741020885],,,
DPGM_c,7.708453917784204,7.708453917784204,7.708453917784204,[7.708453917784204],,,
DPMVD_c,3.5836714697841523,3.5836714697841523,3.5836714697841523,[3.5836714697841523],,,
DUTPDP_c,0.024647767795566523,0.024647767795566523,0.024647767795566523,[0.024647767795566523, 0.024647767795566523],,
EAR100y_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
EAR120y_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
EAR140y_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
EAR160y_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
EAR180y_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
EAR40y_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
EAR60y_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
EAR80y_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
ECOAR200_rm,3.4146529545270465,3.4146529545270465,3.4146529545270465,[3.4146529545270465],,,
ECOAR220_rm,3.4146529545270465,3.4146529545270465,3.4146529545270465,[3.4146529545270465],,,
ECOAR240_rm,3.4146529545270465,3.4146529545270465,3.4146529545270465,[3.4146529545270465],,,
ENO_c,10.40598869476072,10.40598869476072,10.40598869476072,[10.40598869476072],,,
ETFOXRq9_c,1.2082978259863957,1.2082978259863957,1.2082978259863957,[1.2082978259863957],,,
ETFOXRq9_m,1.2082978259863957,1.2082978259863957,1.2082978259863957,[1.2082978259863957],,,
FACOAE160_c,39.680607979375885,2682.4321945827824,1361.0564012810792,[39.680607979375885, 2682.4321945827824],,
FACOAE180_c,39.680607979375885,2682.4321945827824,1361.0564012810792,[39.680607979375885, 2682.4321945827824],,
FACOAE181_c,39.680607979375885,2682.4321945827824,1361.0564012810792,[39.680607979375885, 2682.4321945827824],,
FACOAE182_c,39.680607979375885,2682.4321945827824,1361.0564012810792,[39.680607979375885, 2682.4321945827824],,
FACOAE183_c,39.680607979375885,2682.4321945827824,1361.0564012810792,[39.680607979375885, 2682.4321945827824],,
FACOAL220_l,5.057337654528962,5.057337654528962,5.057337654528962,[5.057337654528962],,,
FACOAL220_rm,0.009179247,0.009179247,0.009179247,[0.009179246740550264],,,
FACOAL240_l,5.057337654528962,5.057337654528962,5.057337654528962,[5.057337654528962],,,
FACOAL240_rm,0.009179247,0.009179247,0.009179247,[0.009179246740550264],,,
FBA3_c,0.028530752843837714,0.028530752843837714,0.028530752843837714,[0.028530752843837714],,,
FBA_c,0.028530752843837714,0.028530752843837714,0.028530752843837714,[0.028530752843837714],,,
FCLT_m,0.002348429,0.002348429,0.002348429,[0.0023484292715889696],,,
FDH_c,12.321397632560632,12.321397632560632,12.321397632560632,[12.321397632560632],,,
FE2t_c_e,0.004536283,0.004536283,0.004536283,[0.004536283099054035],,,
FE3t_c_e,5.682565198612306,5.682565198612306,5.682565198612306,[5.682565198612306],,,
FECOOR_m,424222.52733683283,424222.52733683283,424222.52733683283,[424222.52733683283],,,
FECRq9_m,3044.1090290172815,3044.1090290172815,3044.1090290172815,[3044.1090290172815],,,
FMNRx_c,0.000159012,0.000159012,0.000159012,[0.0001590122978215398],,,
FUM_c,28089576.768999856,28089576.768999856,28089576.768999856,[28089576.768999856],,,
FUM_m,31.60804116,31.60804116,31.60804116,[31.6080411555687],,,
G3PAT_l,0.1964152459878597,0.1964152459878597,0.1964152459878597,[0.1964152459878597],,,
G3PAT_rm,17.92492627184928,17.92492627184928,17.92492627184928,[17.92492627184928, 17.92492627184928],,
G3PD1r_c,4.541691937734015,4.541691937734015,4.541691937734015,[4.541691937734015, 4.541691937734015],,
G3PDf_m,5.057337654528964,5.057337654528964,5.057337654528964,[5.057337654528964],,,
G3PT_c,3.2491687728931002,3.2491687728931002,3.2491687728931002,[3.2491687728931002],,,
G5SDy_c,3.6274658834427003,3.6274658834427003,3.6274658834427003,[3.6274658834427003],,,
G6PDH2i_c,80.63594997323814,80.63594997323814,80.63594997323814,[80.63594997323814],,,
GALUi_c,10.47761510350598,10.47761510350598,10.47761510350598,[10.47761510350598],,,
GAPD_c,37.49150265805386,37.49150265805386,37.49150265805386,[37.49150265805386],,,
GARFT_c,28.342799895612753,28.342799895612753,28.342799895612753,[28.342799895612753],,,
GHMT2r_c,27.837517351966433,27.837517351966433,27.837517351966433,[27.837517351966433],,,
GK1_c,0.32930415196110846,0.34786379572404647,0.33858397384257743,[0.32930415196110846, 0.34786379572404647],,
GK2_c,0.34786379572404647,0.34786379572404647,0.34786379572404647,[0.34786379572404647],,,
GLCDx_c,9.427932922819041e-16,9.427932922819041e-16,9.427932922819041e-16,[9.427932922819041e-16, 9.427932922819041e-16],,
GLNS_c,67.36732509588572,67.36732509588572,67.36732509588572,[67.36732509588572],,,
GLNTRS_c,7.733679629457247,7.733679629457247,7.733679629457247,[7.733679629457247],,,
GLUDC_c,0.00060672,0.00060672,0.00060672,[0.0006067197376732292, 0.0006067197376732292],,
GLUDy_c,69.59363867551285,69.59363867551285,69.59363867551285,[69.59363867551285],,,
GLUPRT_c,4.425992937773756,4.425992937773756,4.425992937773756,[4.425992937773756],,,
GLUSx_c,2.846094988935711,2.846094988935711,2.846094988935711,[2.846094988935711],,,
GLUTRS_c,6.187849828376566,6.187849828376566,6.187849828376566,[6.187849828376566],,,
GLUt_c_m,5.306992115478328,97.75338938477556,51.53019075012694,[97.75338938477556, 5.306992115478328],,
GLYCL_m,649.2744574387285,649.2744574387285,649.2744574387285,[649.2744574387285],,,
GLYCtps_e,15.60498914013176,15.60498914013176,15.60498914013176,[15.60498914013176],,,
GLYGS_c,854.8189311180089,854.8189311180089,854.8189311180089,[854.8189311180089],,,
GLYOX_c,2.9251800813027984,2.9251800813027984,2.9251800813027984,[2.9251800813027984],,,
GLYTRS_c,2.703799860764698,2.703799860764698,2.703799860764698,[2.703799860764698],,,
GLYt_c_m,97.75338938477556,97.75338938477556,97.75338938477556,[97.75338938477556],,,
GMPS2_c,1.7524277617862645,1.7524277617862645,1.7524277617862645,[1.7524277617862645],,,
GND_c,39.19910964598279,39.19910964598279,39.19910964598279,[39.19910964598279, 39.19910964598279],,
GRTT_c,4.438427138494241,4.438427138494241,4.438427138494241,[4.438427138494241],,,
GTHO_c,87.48634258,87.48634258,87.48634258,[87.4863425821167, 87.4863425821167],,
GTHP_c,45.17447704435628,45.17447704435628,45.17447704435628,[45.17447704435628, 45.17447704435628, 45.17447704435628],
GTHP_m,5.111278975848399e-15,5.111278975848399e-15,5.111278975848399e-15,[5.111278975848399e-15, 5.111278975848399e-15],,
HACNH_m,19.76889563645602,996.9254521791881,39.068282588163555,[19.76889563645602, 996.9254521791881, 39.068282588163555],
HCITR_m,19.76889563645602,19.76889563645602,19.76889563645602,[19.76889563645602],,,
HCITS_m,0.37707530725209476,0.37707530725209476,0.37707530725209476,[0.37707530725209476],,,
HCO3E_c,223.08553323004426,223.08553323004426,223.08553323004426,[223.08553323004426],,,
HEX7b_c,3.822389397627245e-16,3.822389397627245e-16,3.822389397627245e-16,[3.822389397627245e-16],,,
HICITD_m,0.7622978099145711,0.7622978099145711,0.7622978099145711,[0.7622978099145711],,,
HISTD_c,5.002136768714002,5.002136768714002,5.002136768714002,[5.002136768714002],,,
HISTP_c,56.715026786629004,56.715026786629004,56.715026786629004,[56.715026786629004],,,
HISTRS_c,1.5278165316042085,1.5278165316042085,1.5278165316042085,[1.5278165316042085],,,
HMGCOAR_c,51.30611611881572,51.30611611881572,51.30611611881572,[51.30611611881572],,,
HMGCOAS_c,3.5257744164637064,3.5257744164637064,3.5257744164637064,[3.5257744164637064],,,
HOMOX_m,0.00081382,0.00081382,0.00081382,[0.0008138203534750531],,,
HSDx_c,11.84667989573996,11.84667989573996,11.84667989573996,[11.84667989573996],,,
HSK_c,21.01045443164966,21.01045443164966,21.01045443164966,[21.01045443164966],,,
HSTPT_c,1.7147213217979478,1.7147213217979478,1.7147213217979478,[1.7147213217979478],,,
ICDHx_m,57.08584300084289,57.08584300084289,57.08584300084289,[57.08584300084289],,,
IG3PS_c,1.7008057088061064,1.7008057088061064,1.7008057088061064,[1.7008057088061064],,,
IGPDH_c,0.4998114199525297,0.4998114199525297,0.4998114199525297,[0.4998114199525297],,,
IGPS_c,95.26653591318616,95.26653591318616,95.26653591318616,[95.26653591318616],,,
ILETA_m,6.659590938118801,6.659590938118801,6.659590938118801,[6.659590938118801],,,
ILETRS_c,2.4706008560522443,2.4706008560522443,2.4706008560522443,[2.4706008560522443],,,
IMPC_c,2.7453726137328496,2.7453726137328496,2.7453726137328496,[2.7453726137328496],,,
IMPD_c,1.671578811583382,1.671578811583382,1.671578811583382,[1.671578811583382],,,
INO3GALT_c,1.2722542404120287e-15,1.2722542404120287e-15,1.2722542404120287e-15,[1.2722542404120287e-15],,,
IPDDI_c,1.5374892482721965,1.5374892482721965,1.5374892482721965,[1.5374892482721965],,,
IPMD_c,2.6422406680741446,2.6422406680741446,2.6422406680741446,[2.6422406680741446],,,
IPPMIa_c,3.985320362487314,3.985320362487314,3.985320362487314,[3.985320362487314],,,
IPPMIb_c,3.985320362487314,3.985320362487314,3.985320362487314,[3.985320362487314],,,
IPPS_c,0.682905173,0.682905173,0.682905173,[0.682905173335259],,,
ITCOAL_m,26.183043603665105,26.183043603665105,26.183043603665105,[26.183043603665105],,,
KARA1i_m,0.4205428841179541,0.4205428841179541,0.4205428841179541,[0.4205428841179541],,,
KARA2i_m,0.4205428841179541,0.4205428841179541,0.4205428841179541,[0.4205428841179541],,,
LEUTA_c,1.3394249890369863,15.172012963586878,8.255718976311933,[1.3394249890369863, 15.172012963586878],,
LEUTRS_c,2.7232044731606995,2.7232044731606995,2.7232044731606995,[2.7232044731606995],,,
LGTHL_c,5.057337655,5.057337655,5.057337655,[5.05733765452896],,,
LNS14DMy_c,1.1665000175110734,1.1665000175110734,1.1665000175110734,[1.1665000175110734],,,
LNSTLS_c,14.517265513342037,14.517265513342037,14.517265513342037,[14.517265513342037],,,
LTA4H_c,3.197602225625532e-16,3.197602225625532e-16,3.197602225625532e-16,[3.197602225625532e-16],,,
LYSTRS_c,1.4490949146781589,1.4490949146781589,1.4490949146781589,[1.4490949146781589],,,
M1PS_c,0.007168641,0.007168641,0.007168641,[0.007168640696609647],,,
MACACI_c,6.910956862687856e-16,6.910956862687856e-16,6.910956862687856e-16,[6.910956862687856e-16, 6.910956862687856e-16],,
MAN1PT_c,7.575800194836836,7.575800194836836,7.575800194836836,[7.575800194836836],,,
MAN6PI_c,15.169481303519017,15.169481303519017,15.169481303519017,[15.169481303519017],,,
MANNANH_e,3.8174112906756134e-16,3.8174112906756134e-16,3.8174112906756134e-16,[3.8174112906756134e-16, 3.8174112906756134e-16, 3.8174112906756134e-16, 3.8174112906756134e-16]
MCOATA_c,1263.5303726821962,2090.137196691179,1676.8337846866875,[1263.5303726821962, 2090.137196691179],,
MDH_c,15.196195178186684,15.196195178186684,15.196195178186684,[15.196195178186684],,,
MDH_m,10.60111090577587,10.60111090577587,10.60111090577587,[10.60111090577587],,,
MDLDH_x,7.737825358377324e-16,7.737825358377324e-16,7.737825358377324e-16,[7.737825358377324e-16],,,
ME1_m,133.85555565490858,133.85555565490858,133.85555565490858,[133.85555565490858],,,
ME2_c,3.594727381977724,3.594727381977724,3.594727381977724,[3.594727381977724],,,
ME2_m,133.85555565490858,133.85555565490858,133.85555565490858,[133.85555565490858],,,
METAT_c,0.034196698846417996,0.034196698846417996,0.034196698846417996,[0.034196698846417996],,,
METS_c,0.082879749,0.082879749,0.082879749,[0.08287974920001248],,,
METTRS_c,1.840382236965515,1.840382236965515,1.840382236965515,[1.840382236965515],,,
MI1PP_c,0.11992988177667101,0.11992988177667101,0.11992988177667101,[0.11992988177667101, 0.11992988177667101],,
MPYRCNST_c,6.343833808476815e-16,6.343833808476815e-16,6.343833808476815e-16,[6.343833808476815e-16],,,
MTHFD_c,495.44369828164287,495.44369828164287,495.44369828164287,[495.44369828164287],,,
MTHFR3_c,67.23627787242009,67.23627787242009,67.23627787242009,[67.23627787242009],,,
NADHcplxI_c_m,30740.886482601378,30740.886482601378,30740.886482601378,[30740.886482601378],,,
NADHq9_c,2495.4702456597633,2495.4702456597633,2495.4702456597633,[2495.4702456597633, 2495.4702456597633],,
NADS2_c,0.007682647,0.007682647,0.007682647,[0.007682646882481927],,,
NAMNPP_c,0.006127076,0.006127076,0.006127076,[0.006127076143272535],,,
NDPK1_c,1.3584305844485676,15.825513726119537,8.591972155284052,[1.3584305844485676, 15.825513726119537],,
NDPK2_c,1.3584305844485676,1.3584305844485676,1.3584305844485676,[1.3584305844485676],,,
NDPK3_c,1.3584305844485676,1.3584305844485676,1.3584305844485676,[1.3584305844485676],,,
NDPK4_c,1.3584305844485676,1.3584305844485676,1.3584305844485676,[1.3584305844485676],,,
NDPK5_c,1.3584305844485676,1.3584305844485676,1.3584305844485676,[1.3584305844485676],,,
