rxnid,min,max,median,all individual values,,,
13GS_c,975.0320446813296,975.0320446813296,975.0320446813296,[975.0320446813296],,,
16GS_c,295.7051936260032,295.7051936260032,295.7051936260032,[295.7051936260032],,,
2OXOADPt_c_m,15.33003294390648,15.33003294390648,15.33003294390648,[15.33003294390648],,,
3HACD200_rm,17.740746715701324,17.740746715701324,17.740746715701324,[17.740746715701324],,,
3HACD220_rm,17.740746715701324,17.740746715701324,17.740746715701324,[17.740746715701324],,,
3HACD240_rm,17.740746715701324,17.740746715701324,17.740746715701324,[17.740746715701324],,,
3HAD100_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
3HAD120_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
3HAD140_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
3HAD160_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
3HAD180_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
3HAD40_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
3HAD40_m,5.078117221333254e-16,5.078117221333254e-16,5.078117221333254e-16,[5.078117221333254e-16],,,
3HAD60_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
3HAD80_c,1263.5303726821962,1263.5303726821962,1263.5303726821962,[1263.5303726821962],,,
3INDACNLAH_c,6.381880934168853e-16,6.381880934168853e-16,6.381880934168853e-16,[6.381880934168853e-16],,,
3MOBR_m,1.5954181057344149e-15,1.5954181057344149e-15,1.5954181057344149e-15,[1.5954181057344149e-15],,,
3OACE200_rm,3242626.7870184476,3242626.7870184476,3242626.7870184476,[3242626.7870184476],,,
3OACE240_rm,3242626.7870184476,3242626.7870184476,3242626.7870184476,[3242626.7870184476],,,
3OACR200_rm,1.3794485584296907,1.3794485584296907,1.3794485584296907,[1.3794485584296907],,,
3OACR220_rm,1.3794485584296907,1.3794485584296907,1.3794485584296907,[1.3794485584296907],,,
3OACR240_rm,1.3794485584296907,1.3794485584296907,1.3794485584296907,[1.3794485584296907],,,
3OAR100_c,15.532749725007195,2090.137196691179,34.65621287952732,[2090.137196691179, 35.27964916650235, 15.532749725007195, 34.032776592552274]
3OAR120_c,15.532749725007195,2090.137196691179,34.65621287952732,[2090.137196691179, 35.27964916650235, 15.532749725007195, 34.032776592552274]
