id,flux
MDH_c,-5.0663197
MDH_m,6.0236142
ME1_m,0.4952053
ME2_c,0
ME2_m,0
METAT_c,0.0540629
METB1_c,0
METS_c,0.0723714
MEVK1_c,0.1240935
MG2t_c_e,0.024589
MGSA_c,0.1925813
MI1PP_c,0.0049923
MN2t_c_e,0.0000363
MTHFC_c,3.4628771
MTHFC_m,0.9447892
MTHFD_c,1.0393216
MTHFD_m,0.9447892
MTHFD2i_c,2.4235554
MTHFR3_c,0.0723714
NADHcplxI_c_m,15.1013858
NADHq9_c,13.0100631
NDPK1_c,0.2896319
NDPK2_c,0.5584535
NDPK3_c,0.0180456
NDPK4_c,0.0023229
NDPK5_c,0.0036257
NDPK6_c,0.0023229
NDPK7_c,0.0036257
NDPK8_c,0.0022752
NH4t_c_e,2.756317
NH4t_c_m,-2.699807
NTP5_c,0
O2t_c_e,15.9684414
O2t_c_m,15.0505012
OAADC_c,0
OAAtps_m,0
OCBT_c,0.0619971
OMCDC_c,0.1286427
OMPDC_c,0.0762434
ORNCD_m,0.474063
ORNTA_c,0.0677743
ORNTACi_m,0.6038298
ORNtpa_m,0.1297669
ORPT_c,0.0762434
P5CD2_m,0.4740631
P5CR_c,0.0677744
PAILS_c,0.0049923
PAP_c,0.0020558
PAPSR_c,0.020557
PC_c,1.3895251
PDH_m,2.8923626
PDMEMT_c,0.0111268
PEMT_c,0.0111268
PFK_c,4.4444277
PGCD_c,3.0681009
PGI_c,1.4284844
PGK_c,7.015644
PGL_c,3.3667816
PGM_c,3.9475431
PGMT_c,0.4782767
PHETA1_c,0.0603868
PItps_e,0.2115399
PItps_m,78.0763491
PKETF_c,0
PKETX_c,0
PMANM_c,0.1894806
PMEMT_c,0.0111268
PMEVK_c,0.1240936
PPA_c,2.175987
PPCK_c,0.0000009
PPND2_c,0.0314782
PPNDH_c,0.0603868
PRAGSi_c,0.0727804
PRAIi_c,0.612608
PRAIS_c,0.0727804
PRAMPC_c,0.0309965
PRASCSi_c,0.0727804
PRATPP_c,0.0309965
PRFGS_c,0.0727804
PRMICI_c,0.0309965
