"rxn"	"v_exp_lb"	"v_sm"	"% diff from v_exp_lb"
"DHAD1_m"	 2.463645834695243E-01	 2.591310955201983E-01	 5.18E+00
"DHAD2_m"	 9.459494178611749E-02	 7.503306873875071E-02	-2.07E+01
"DHFRi_c"	 2.322939632743820E-03	 2.225090681214824E-03	-4.21E+00
"DHORDfum_c"	 7.624337076837510E-02	 6.749849504471599E-02	-1.15E+01
"DHORTS_c"	-7.624337100000000E-02	-6.749849504471599E-02	-1.15E+01
"DHQS_c"	 1.023040551421131E-01	 1.192414040429588E-01	 1.66E+01
"DHQTi_c"	 1.023040551421131E-01	 1.192414040429588E-01	 1.66E+01
"DMATT_c"	 4.136453333333334E-02	 3.962208297296550E-02	-4.21E+00
"DOLPMMT_r"	 1.894805892809758E-01	 1.814985205972205E-01	-4.21E+00
"DOLPMT_c"	 1.894805892809758E-01	 1.814985205972205E-01	-4.21E+00
"DPMVD_c"	 1.240936000000000E-01	 1.188662489188965E-01	-4.21E+00
"DTMPK_c"	 2.322939632743820E-03	 2.225090681214808E-03	-4.21E+00
"DUTPDP_c"	 2.322939632743820E-03	 2.072356169439833E-03	-1.08E+01
"ENO_c"	 4.108592700000000E+00	 4.458846548205421E+00	 8.52E+00
"ETFOXRq9_m"	 4.404266000000000E-01	 4.404265995953253E-01	-9.19E-08
"EX_ca2_e"	-4.971376880859632E-04	-4.769716550083870E-04	-4.06E+00
"EX_co2_e"	 1.663798915937183E+01	 1.663798915931874E+01	-3.19E-10
"EX_cu2_e"	-4.406974839953329E-05	-4.225030012414060E-05	-4.13E+00
"EX_fe2_e"	-2.566869555902640E-04	-2.486766043665361E-04	-3.12E+00
"EX_k_e"	-2.333570493103357E-01	-2.235663835411198E-01	-4.20E+00
"EX_mg2_e"	-2.458898672323784E-02	-2.371408425565249E-02	-3.56E+00
"EX_nh4_e"	-2.756316799374078E+00	-2.758563399982441E+00	 8.15E-02
"EX_o2_e"	-1.596784226096333E+01	-1.596784230000000E+01	 2.44E-07
"EX_pi_e"	-2.115400000000000E-01	-2.027141275974532E-01	-4.17E+00
"EX_so4_e"	-3.262707688526850E-02	-5.866342891523128E-02	 7.98E+01
"EX_zn2_e"	-6.092449427865303E-04	-6.188613124074471E-04	 1.58E+00
"FBA_c"	 2.918868609614855E+00	 3.222614002280655E+00	 1.04E+01
"FBP_c"	 9.485279903851448E-01	 0.000000000000000E+00	-1.00E+02
"FDH_c"	 4.699686054581083E+00	 4.704459861880177E+00	 1.02E-01
"FE2t_c_e"	 2.566869555902640E-04	 2.486766043665361E-04	-3.12E+00
"FECOOR_m"	 1.506562451360893E+01	 1.537807675591322E+01	 2.07E+00
"FECRq9_m"	 3.001069391622509E+01	 3.066267819099361E+01	 2.17E+00
"FKYNH_c"	 5.864462853323326E-01	 1.684633305992639E-01	-7.13E+01
"FORt_c_m"	 9.111507000000000E-01	 9.043553390033072E-01	-7.46E-01
