rxn,flux,lb,ub
UMPK_c,0.019218842596688386,0.0,1000.0
GALUi_c,0.1205602896615524,-1000.0,1000.0
VALTA_c,0.03700775615466431,-1000.0,1000.0
VALTA_m,-0.06837309788983742,-1000.0,1000.0
VALTRS_c,0.0313653417351731,0.0,1000.0
BTDt_c_e,13.24482919736128,-1000.0,1000.0
2OXOADPt_c_m,0.026940006845879005,-1000.0,1000.0
ADPATPt_c_m,13.53358685572636,-1000.0,1000.0
NH4t_c_e,45.35869593532813,-1000.0,1000.0
AMPATPt_c_x,1.0313886998160512e-18,0.0,1000.0
ASPGLUt_c_m,2.615683158051134,0.0,1000.0
GLCt_c_e,13.210000000000003,0.0,1000.0
INOSTtps_e,0.000948922253072798,0.0,1000.0
FE2t_c_e,6.470367385914342e-05,0.0,1000.0
GLUt_c_m,0.22583790648700056,0.0,1000.0
NADt2_m,-1.2905768697041098e-15,0.0,1000.0
ORNtpa_m,0.024214274377416602,0.0,1000.0
PItps_e,0.05301384430026794,-1000.0,1000.0
PItps_m,13.533586855726362,0.0,1000.0
SUCFUMt_c_m,0.019218842596688376,0.0,1000.0
SO4t_c_e,0.015482290758449145,0.0,1000.0
UREAtps_e,-22.31775304402866,-1000.0,1000.0
H2Ot_c_e,-33.74303844522398,-1000.0,1000.0
13BDGLUCANt_c_en,0.0667059797182664,-1000.0,1000.0
EX_btd_e,13.24482919736128,0.0,1000.0
2OBUTt_c_m,0.003941168913830159,-1000.0,1000.0
ACRNt_c_x,-1.419821649507793e-16,0.0,1000.0
EX_nh4_e,-45.35869593532813,-1000.0,1000.0
HCO3E_c,6.779476089893244,-1000.0,1000.0
CO2t_c_m,-1.8356401342410824,-1000.0,1000.0
COAt_c_x,-2.513318669630837e-18,-1000.0,1000.0
CYTK1_c,0.00515329681982973,0.0,1000.0
EX_glc__D_e,-13.21,-13.21,1000
DHFt_c_m,9.308985847690292e-36,-1000.0,1000.0
PPIt_c_x,-1.031388699816051e-18,-1000.0,1000.0
DOLPt_c_r,-0.047762809852498714,-1000.0,1000.0
ERGTETROLt_c_r,0.00521342056496691,-1000.0,1000.0
ERGSTt_c_r,0.005213420564966911,-1000.0,1000.0
TTDCAt_c_x,1.031388699816051e-18,-1000.0,1000.0
GLYt_c_m,2.848734229102283,-1000.0,1000.0
Ht_c_r,-0.037335968722564894,-1000.0,1000.0
Ht_c_x,1.0313886998158569e-18,-1000.0,1000.0
EX_fe2_e,-6.470367385914342e-05,-1000.0,1000.0
ALAt_c_m,0.04328227571291321,0.0,1000.0
CRNt_c_m,0.1444996397185079,0.0,1000.0
ILEt_c_m,0.0197690946911468,0.0,1000.0
PROt_c_m,-0.022992444719134898,-1000.0,1000.0
MANNANt_c_r,-0.0477628098524987,-1000.0,1000.0
EX_inost_e,-0.0009489222530727981,-1000,1000
NADPt_c_r,-0.010426841129933816,-1000.0,1000.0
NADPHt_c_r,0.010426841129933818,-1000.0,1000.0
NH4t_c_m,-1.4631874850475934,-1000.0,1000.0
ACRNt_c_m,0.14449963971850788,0.0,1000.0
O2t_c_r,0.005213420564966906,-1000.0,1000.0
O2t_c_m,2.182305331751506,-1000.0,1000.0
O2t_c_e,2.2616120462397977,-1000.0,1000.0
O2t_c_x,2.972828146114791e-17,-1000.0,1000.0
EX_o2_e,-2.2616120462397977,-26.25403530509562,1000
EX_pi_e,-0.05301384430026794,-1000.0,1000.0
PYRtps_m,0.021166378793285957,0.0,1000.0
SERt_c_m,-1.4243671145511416,-1000.0,1000.0
SQLt_c_r,0.0052134205649669065,-1000.0,1000.0
SSQ23EPXt_c_r,0.0052134205649669065,-1000.0,1000.0
EX_so4_e,-0.015482290758449148,-1000.0,1000.0
THRt_c_m,0.015827925777316645,0.0,1000.0
EX_urea_e,22.31775304402866,0.0,1000.0
