,old_min,old_max,new_min,new_max,diff_min,diff_max
DPR_c,3.9018839886598656e-05,3.901878848221982e-05,3.8987410607696076e-05,3.8987410615735456e-05,3.142927890257961e-08,3.1377866484365833e-08
DDPA_m,0.0,0.0,0.0,0.0,0.0,0.0
IPPMIb_c,-0.12356213074878997,-0.12356213083306523,-0.12346260279383596,-0.12346260279388394,-9.952795495400679e-05,-9.95280391812986e-05
UNK3_c,7.803773069627626e-05,7.803760513769969e-05,7.797482132667698e-05,7.797482119989016e-05,6.290936959927609e-08,6.278393780952476e-08
HCITR_m,0.10134870528580864,0.10134870519919861,0.10126706993489125,0.10126706993483606,8.163535091738894e-05,8.163526436255619e-05
MCITS_m,0.0,0.0,0.0,0.0,0.0,0.0
OMCDC_c,0.12356213083306523,0.12356213074873702,0.12346260279388395,0.12346260279388223,9.952803918128472e-05,9.952795485479449e-05
OMCDC_m,1.1844989908341187e-17,0.0,0.0,0.0,1.1844989908341187e-17,0.0
BPNT_c,0.019862540506617756,0.019862539616950097,0.01984654136990675,0.019846541369651406,1.599913671100628e-05,1.5998247298691648e-05
PDE1_c,0.0,-2.2580691129597716e-09,0.0,1.8327319910126212e-12,0.0,-2.2599018449507843e-09
PDE2_c,0.0,0.0,0.0,0.0,0.0,0.0
PDE3_c,0.0,0.0,0.0,0.0,0.0,0.0
PDE4_c,0.0,0.0,0.0,0.0,0.0,0.0
PDE5_c,0.0,0.0,0.0,0.0,0.0,0.0
DB4PS_c,0.000156075359545102,0.00015607535954168493,0.0001559496424310048,0.00015594964243100662,1.2571711409720587e-07,1.2571711067830985e-07
DHQTi_c,0.09838093232405619,0.09838093224179582,0.0983016874840651,0.09830168748413895,7.924483999108278e-05,7.924475765687389e-05
DHQS_c,0.0983809323240562,0.09838093224176656,0.09830168748406512,0.09830168748413474,7.924483999108278e-05,7.92447576318106e-05
3DSPHR_r,0.003153112451209924,0.0031531124286547133,0.0036285084013778267,0.0036285084013968436,-0.0004753959501679027,-0.0004753959727421303
DDPA_c,0.09838093232405622,0.09838093224183768,0.09830168748406513,0.09830168748407661,7.924483999108278e-05,7.924475776106832e-05
HKYNH_c,7.803767977033876e-05,7.803761750242053e-05,7.797482121502396e-05,7.797482125380115e-05,6.285855531480103e-08,6.279624861938056e-08
HACD140i_x,-2.6914952598602944e-27,-1.9565209437854044e-10,2.7409025859028195e-17,9.879168271650321e-14,-2.740902586171969e-17,-1.9575088606125694e-10
3HAO_c,7.803767977191302e-05,7.803761746350609e-05,7.797482121364907e-05,7.797482133387221e-05,6.285855826395292e-08,6.27961296338842e-08
3IPM3MT_c,0.0,0.0,0.0,0.0,0.0,0.0
IPPMIa_c,-0.12356213083036167,-0.12356213084630982,-0.12346260279388294,-0.1234626027938858,-9.95280364787382e-05,-9.952805242402496e-05
IPMD_c,0.12356213083306523,0.12356213083036381,0.123462602793884,0.12346260279388543,9.952803918122921e-05,9.952803647837738e-05
3MOBDC_c,0.0,-1.2140258827160438e-10,0.0,4.7580284859727976e-14,0.0,-1.214501685564641e-10
MTMOHT_m,3.901883988626964e-05,3.90187884637264e-05,3.89874106078904e-05,3.898741061312044e-05,3.1429278379241994e-08,3.137785060596074e-08
3MOPDC_c,0.0,-9.056015143099496e-11,0.0,1.0192056570603485e-13,0.0,-9.066207199670099e-11
PSCIT_c,0.09838093232405828,0.09838093224171619,0.0983016874840672,0.09830168748413882,7.924483999108278e-05,7.924475757736804e-05
ADCS_c,3.901883988624541e-05,3.901875763707117e-05,3.898741060943665e-05,3.8987410657289875e-05,3.1429276808761595e-08,3.134697978129247e-08
ADCL_c,3.901883988624541e-05,3.901875763707117e-05,3.898741060943664e-05,3.8987410657289875e-05,3.142927680876837e-08,3.134697978129247e-08
ABTA_c,3.9018839886275496e-05,3.901703365610818e-05,3.89874106077512e-05,3.898741166346079e-05,3.142927852429469e-08,2.96219926473922e-08
4HTHRS_c,0.0,0.0,0.0,0.0,0.0,0.0
4DPMIPPH_c,0.0,0.0,0.0,0.0,0.0,0.0
IPPYP1_c,0.0,0.0,0.0,0.0,0.0,0.0
MTAP_c,7.803773066287422e-05,7.803760517017858e-05,7.797482122002321e-05,7.797482122114826e-05,6.290944285101063e-08,6.278394903031252e-08
NTD4pp_c,0.0,-4.515514805867339e-09,0.0,5.122156270218438e-12,0.0,-4.5206369621375575e-09
NTD2pp_c,0.0,-4.5147847166664406e-09,0.0,4.958527615674517e-12,0.0,-4.519743244282115e-09
PRFGS_c,0.04732009807207375,0.04732009791473777,0.047281982214545,0.04728198221453903,3.811585752874769e-05,3.8115700198737557e-05
MTHFR3_c,0.1058343111191348,0.1058343108871532,0.10574906265835828,0.10574906265862156,8.524846077652415e-05,8.524822853163416e-05
ALAS_m,0.000312150719090204,0.00031215071908337604,0.0003118992848620095,0.000311899284862014,2.5143422819452017e-07,2.514342213620407e-07
PMI12346PS_c,0.0,0.0,0.0,0.0,0.0,0.0
FTHFCL_c,0.0,0.0,0.0,0.0,0.0,0.0
MHPGLUT_c,0.0,0.0,0.0,0.0,0.0,0.0
MDRPD_c,7.803773070096428e-05,7.803760506716292e-05,7.79748212025704e-05,7.797482110351427e-05,6.290949839387477e-08,6.278396364865107e-08
MTRI_c,7.803773067878974e-05,7.80376051894746e-05,7.797482119784785e-05,7.797482125796976e-05,6.290948094189253e-08,6.278393150483492e-08
IPPYP2_c,0.0,0.0,0.0,0.0,0.0,0.0
IPPYP3_c,0.0,0.0,0.0,0.0,0.0,0.0
6DPMIPPH_c,0.0,0.0,0.0,0.0,0.0,0.0
IPPYP4_c,0.0,0.0,0.0,0.0,0.0,0.0
ACALDCD_c,0.0,-1.2363807342185952e-10,0.0,1.7494114512288088e-13,0.0,-1.238130145669824e-10
KARA1i_m,0.23667384577938977,0.23667384565827373,0.23648320740469378,0.2364832074048024,0.00019063837469598943,0.000190638253471348
ACLS_m,0.23667384577938982,0.23667384565814864,0.2364832074046938,0.23648320740472836,0.0001906383746960172,0.00019063825342027774
ACOATA_m,0.0,0.0,0.0,0.0,0.0,0.0
ACACT180i_x,0.0,-3.008415064436914e-10,0.0,7.937852588508986e-14,0.0,-3.009208849695765e-10
ACACT260i_x,0.0,-7.52938296883732e-10,0.0,-5.33179357807664e-14,0.0,-7.528849789479513e-10
ACACT160i_x,0.0,-6.268086706210164e-10,0.0,2.853405439941266e-13,0.0,-6.270940111650105e-10
ACACT40ir_c,0.34913277553441585,0.34913277544841415,0.34885155263603607,0.3488515526360195,0.00028122289837978487,0.00028122281239462144
ACACT140i_x,0.0,-1.5512655544569158e-10,0.0,-1.452047638483634e-14,0.0,-1.5511203496930675e-10
ACACT100i_x,0.0,-1.4598469850728328e-10,0.0,-5.480408077433228e-14,0.0,-1.4592989442650894e-10
ACACT120i_x,0.0,-1.6108312475874214e-10,0.0,2.0069971973187673e-15,0.0,-1.6108513175593945e-10
ACS_n,0.0,0.0,0.0,0.0,0.0,0.0
ACGK_m,0.12468120370481695,0.12468118968616089,0.12458076173041227,0.1245807617294323,0.00010044197440467473,0.0001004279567285854
ACP1_e,0.0,0.0,0.0,0.0,0.0,0.0
ACONT2_m,2.2671443585410195e-10,0.0,-5.6007472044804756e-14,0.0,2.2677044332614676e-10,0.0
ACOTAi_m,0.1246812036867065,0.12468118968656672,0.12458076171582715,0.1245807617275276,0.0001004419708793558,0.00010042795903911217
ACOAO100_x,0.0,0.0,0.0,0.0,0.0,0.0
ACOAO120_x,0.0,0.0,0.0,0.0,0.0,0.0
ACOAO260_x,0.0,-3.759811697583611e-10,0.0,-2.0253615678996036e-13,0.0,-3.757786336015712e-10
ACOAO160_x,8.354846802771433e-10,-7.532197507529009e-10,0.0,-2.7624061190744454e-13,8.354846802771433e-10,-7.529435101409935e-10
ACOAO180_x,0.0,-7.515585603980452e-10,0.0,2.4807253154505354e-13,0.0,-7.518066329295903e-10
ACOAO140_x,0.0,-7.527806788135995e-10,0.0,2.6900698125404276e-14,0.0,-7.52807579511725e-10
ADD_c,4.513576651410889e-09,-9.805956048702859e-09,-1.114548693691599e-12,6.968708277119358e-12,4.514691200104581e-09,-9.812924756979978e-09
ADPT_c,7.804748878135245e-05,7.80376052520496e-05,7.797482275324721e-05,7.797482121235883e-05,7.26660281052347e-08,6.278403969076963e-08
ADA_c,0.0,-3.0883909892466337e-09,0.0,2.2177307388949643e-12,0.0,-3.0906087199855285e-09
ADNK1_c,0.08820950423109551,0.08820949663188882,0.08813844928819149,0.08813844928506993,7.10549429040197e-05,7.10473468188838e-05
AMPDA_c,0.0,-3.0939826844205885e-09,0.0,-1.0021981286008425e-12,0.0,-3.0929804862919877e-09
AHCi_c,0.08820950114250418,0.08820949963496036,0.08813844928683708,0.08813844928647341,7.105185566710914e-05,7.105034848695069e-05
ADMDC_c,7.803767977263372e-05,7.803760510787941e-05,7.797482121505964e-05,7.797482119136673e-05,6.285855757407507e-08,6.278391651267702e-08
AMAOTr_c,0.0,0.0,0.0,0.0,0.0,0.0
ADNCYC_c,0.0,-2.2544795012987874e-09,0.0,-1.085674426839787e-12,0.0,-2.2533938268719476e-09
ADK1_c,4.246359806125984,4.246359778974903,4.252737068895718,4.252737068893566,-0.006377262769734493,-0.006377289918662932
ADK1_m,0.0,-4.5106365500205775e-09,0.0,3.732487755869976e-12,0.0,-4.514369037776448e-09
ADK3_m,4.5119107046095084e-09,-3.4702392656134435e-09,1.2072116686758617e-12,-2.585938998734313e-13,4.510703492940833e-09,-3.46998067171357e-09
ADSL2i_c,0.04728107923216681,0.04728107907481568,0.047242994803988234,0.04724299480388184,3.808442817857666e-05,3.808427093383859e-05
ADSL1r_c,0.04850158854380682,0.048501578726211705,0.04846252100779876,0.04846252100482766,3.906753600805418e-05,3.905772138404484e-05
ADSS_c,0.048501588543806824,0.0485015787322184,0.04846252100779876,0.048462521005432156,3.906753600806112e-05,3.905772678624436e-05
ADSK_c,0.019862540444108165,0.01986253961748916,0.019846541369875754,0.019846541369678696,1.5999074232411065e-05,1.599824781046283e-05
AGTi_c,0.0,-1.6969556357918608e-09,0.0,-3.1260048579644615e-13,0.0,-1.6966430353060643e-09
ALATRS_c,0.1507118298143346,0.1507118298110369,0.15059043296886335,0.15059043296885943,0.00012139684547124441,0.0001213968421774625
ALCD2i1_c,0.0,1000.0,0.0,1000.0,0.0,0.0
ALCD19y_c,0.0,0.0,0.0,0.0,0.0,0.0
ALCD2i2_m,0.0,0.0,0.0,0.0,0.0,0.0
ALCD22xi_c,0.0,-8.593639980090169e-11,0.0,-4.3175342470378463e-13,0.0,-8.55046463761979e-11
ALCD22xi_m,0.0,-8.515484760808819e-11,0.0,-6.237776999032947e-13,0.0,-8.453106990818489e-11
ALCD22yi_c,0.0,-8.436289098145777e-11,0.0,-7.048345102332257e-13,0.0,-8.365805647122454e-11
ALCD25xi_c,0.0,0.0,0.0,0.0,0.0,0.0
ALCD25xi_m,0.0,0.0,0.0,0.0,0.0,0.0
ALCD25yi_c,0.0,0.0,0.0,0.0,0.0,0.0
ALDD20x_m,0.0,-5.437904798487698e-11,0.0,-3.890418617666889e-13,0.0,-5.399000612311029e-11
ALDD20y_m,0.0,-5.4318678122923426e-11,0.0,-4.79172250359292e-13,0.0,-5.383950587256413e-11
ALCD24xi_c,0.0,0.0,0.0,0.0,0.0,0.0
ALCD24xi_m,0.0,0.0,0.0,0.0,0.0,0.0
ALCD24yi_c,0.0,0.0,0.0,0.0,0.0,0.0
ALCD23xi_c,0.0,-1.1178136547490236e-10,0.0,-8.527868243108461e-13,0.0,-1.1092857865059152e-10
ALCD23xi_m,0.0,-1.1186495976088744e-10,0.0,-1.021054670561528e-12,0.0,-1.1084390509032591e-10
ALCD23yi_c,0.0,-1.106189830733668e-10,0.0,-8.793990039865108e-13,0.0,-1.0973958406938028e-10
ALCD26xi_c,0.0,-5.1427872859439884e-11,0.0,-4.3859984224981646e-13,0.0,-5.098927301719007e-11
ALCD26xi_m,0.0,-5.143734448632679e-11,0.0,-3.8519051982058365e-13,0.0,-5.1052153966506207e-11
AKP1_c,0.0,3.9018812498662465e-05,0.0,3.898741039608973e-05,0.0,3.1402102572735335e-08
ATAH_c,0.0,0.0,0.0,0.0,0.0,0.0
ALLTN_c,0.0,0.0,0.0,0.0,0.0,0.0
ALPHNH_c,0.0,-4.5021862456378525e-09,0.0,-3.309248223020055e-11,0.0,-4.469093763407652e-09
12AMANTF_g,0.0,-1.0339419274724473e-10,0.0,-8.063044345402511e-13,0.0,-1.0258788831270448e-10
TREH_v,5.4976995312647366e-11,-1.5008750152384775e-09,1.198443527728839e-13,-1.2953794828843012e-11,5.4857150959874485e-11,-1.4879212204096345e-09
TRE6PS_c,0.0,-1.5003138153170791e-09,0.0,-1.0731166768937813e-11,0.0,-1.4895826485481412e-09
AMID_c,0.0,0.0,0.0,0.0,0.0,0.0
AACTOOR_c,0.0,0.0,0.0,0.0,0.0,0.0
ABUTD_m,0.0,0.0,0.0,0.0,0.0,0.0
ANPRT_c,0.010105099153750526,0.010105098710239362,0.010096959599195031,0.01009695959597711,8.139554555494297e-06,8.13911426225146e-06
ANS_c,0.010105099153750526,0.010105099091625451,0.010096959599195031,0.010096959598898066,8.139554555494297e-06,8.139492727385692e-06
AP4AH_c,0.0,-4.500479832957116e-09,0.0,-4.201651503426046e-11,0.0,-4.4584633179228554e-09
ARGN_c,0.0,-8.228883194149202e-10,0.0,-6.256180406589273e-12,0.0,-8.166321390083309e-10
ARGSL_c,0.05954431042005186,0.0595443095961653,0.05949634808385263,0.05949634807790103,4.7962336199226796e-05,4.796151826427092e-05
ARGSS_c,0.05954431042005185,0.0595443095961653,0.05949634808385262,0.05949634807790104,4.7962336199233735e-05,4.796151826426398e-05
ARGTRS_c,0.05954431042005186,0.05954431041875417,0.05949634808385263,0.05949634808384327,4.7962336199226796e-05,4.796233491090318e-05
