rxn	upper-bound
PROSYN-rt0910	5.95696647
PROSYN-rt0915_c	1.64646358
PROSYN-rt0915_n	1.64646358
PROSYN-rt0930_c	5.00444316
PROSYN-rt0930_m	5.00444316
PROSYN-rt0932	4.73046841
PROSYN-rt0947	1.73061365
PROSYN-rt0958	1.00058354
PROSYN-rt0963	4.16802102
PROSYN-rt0986	1.58562608
PROSYN-rt0996	1.93219395
PROSYN-rt1009	1.34100353
PROSYN-rt1057	1.62837431
PROSYN-rt1060	0.69961663
PROSYN-rt1066	2.97274346
PROSYN-rt1067	2.10493853
PROSYN-rt1089	2.18670031
PROSYN-rt1127	0.81412321
PROSYN-rt1131	2.56532922
PROSYN-rt1145	3.44472287
PROSYN-rt1147	3.20891260
PROSYN-rt1153	2.57600865
PROSYN-rt1163	1.90239128
PROSYN-rt1168	2.13089947
PROSYN-rt1169	1.60549587
PROSYN-rt1203	2.24574022
PROSYN-rt1206	0.94951359
PROSYN-rt1221	2.17005515
PROSYN-rt1228	1.57129519
PROSYN-rt1254	5.28258876
PROSYN-rt1267	2.38494757
PROSYN-rt1269	1.52052492
PROSYN-rt1271	1.42069169
PROSYN-rt1276	4.08851298
PROSYN-rt1296	3.06729797
PROSYN-rt1299	2.57769200
PROSYN-rt1320	3.05318518
PROSYN-rt1321	2.30045449
PROSYN-rt1326	2.83588391
PROSYN-rt1332	1.64985479
PROSYN-rt1336	4.10943448
PROSYN-rt1337	2.62153717
PROSYN-rt1340	2.52335168
PROSYN-rt1343	1.19820032
PROSYN-rt1358	1.06206402
PROSYN-rt1360	3.38512399
PROSYN-rt1362	2.19873097
PROSYN-rt1363	4.20051668
PROSYN-rt1374	2.02370481
PROSYN-rt1375	1.85673226
PROSYN-rt1378	1.46443048
PROSYN-rt1380	8.14840803
PROSYN-rt1384	2.48983969
PROSYN-rt1388	1.56201896
PROSYN-rt1395	0.86870024
PROSYN-rt1397	2.45140641
PROSYN-rt1406	3.70634981
PROSYN-rt1414_gm	0.98362255
PROSYN-rt1414_n	0.98362255
PROSYN-rt1432	3.47748586
PROSYN-rt1437	2.83826550
PROSYN-rt1441	2.46316265
PROSYN-rt1454	3.55902408
PROSYN-rt1457	1.55178007
PROSYN-rt1470	1.92649139
PROSYN-rt1473	2.27289730
PROSYN-rt1480	8.66795587
PROSYN-rt1487	1.54410208
PROSYN-rt1488	1.14792119
PROSYN-rt1518_c	4.76888734
PROSYN-rt1518_m	4.76888734
PROSYN-rt1519	4.49741614
PROSYN-rt1520	4.08577819
PROSYN-rt1532	3.20597015
PROSYN-rt1537	2.84218737
PROSYN-rt1542	5.75692861
PROSYN-rt1544_e	1.89111676
PROSYN-rt1544_l	1.89111676
PROSYN-rt1544_rm	1.89111676
PROSYN-rt1561	2.28147566
PROSYN-rt1567	2.42000128
PROSYN-rt1572	13.58807803
PROSYN-rt1577	2.15372860
PROSYN-rt1591	2.19997304
PROSYN-rt1611	3.59272533
PROSYN-rt1613	1.47715735
PROSYN-rt1622_c	3.08656477
PROSYN-rt1622_m	3.08656477
PROSYN-rt1627	4.28204409
PROSYN-rt1632	2.73813658
PROSYN-rt1634	2.37111683
PROSYN-rt1639	1.16826471
PROSYN-rt1642	7.05881394
PROSYN-rt1644	2.84738668
PROSYN-rt1648	2.12758269
PROSYN-rt1661	3.77124628
PROSYN-rt1670	3.71813752
PROSYN-rt1672	2.54241591
PROSYN-rt1675	3.23950111
PROSYN-rt1689	2.16067705
PROSYN-rt1701_c	3.71229567
PROSYN-rt1701_m	3.71229567
PROSYN-rt1711	1.88219854
PROSYN-rt1727	2.05183189
PROSYN-rt1736	2.16413371
PROSYN-rt1745	5.36151964
PROSYN-rt1768	2.08814107
PROSYN-rt1772	4.67645082
PROSYN-rt1776	1.06668384
PROSYN-rt1779	2.30204030
PROSYN-rt1784_c	2.48402425
PROSYN-rt1784_x	2.48402425
PROSYN-rt1788	4.12383971
