exchange,uptake,comment
EX_ca2_e,1000.00,
EX_cl_e,1000.00,
EX_cu2_e,1000.00,
EX_fe2_e,1000.00,
EX_k_e,1000.00,
EX_mg2_e,1000.00,
EX_mn2_e,1000.00,
EX_na1_e,1000.00,
EX_urea_e,1000.00,
EX_ni2_e,1000.00,
EX_so4_e,1000.00,
EX_zn2_e,1000.00,
EX_pi_e,1000.00,
EX_h_e,1000.00,
EX_thm_e,0.25,
EX_ribflv_e,0.25,
EX_nac_e,0.25,
EX_pydxn_e,0.25,
EX_fol_e,0.25,
EX_pnto__R_e,0.25,
EX_4abz_e,0.25,
EX_inost_e,0.25,
EX_o2_e,1000.00,
EX_glc__D_e,5.00,
EX_btn_c,0.01,
EX_cobalt2_e,1000.00,
