Rxn,13ppd,2phetoh,3hppa,3hppb,4hbz,arte,btd,btoh,citm,cou,hdca,hxdcol,ibutoh,lac__L,muco,nrgn,polyhb,retcln,rsvtol,sesqt,skm,styr,tal
13BDGLUCANt_c_en,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493
13GS_c,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493,0.320187572089493
13PPD1,9.85312857716628,,,,,,,,,,,,,,,,,,,,,,
13PPD2,9.85312857716628,,,,,,,,,,,,,,,,,,,,,,
13PPD3,9.85312857716628,,,,,,,,,,,,,,,,,,,,,,
16GS_c,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955,0.084259653443955
2OBUTt_c_m,0.004525021703878,0.003763078773637,0.003450469650678,0.003354912541127,0.004126458895672,0.024307811115071,0.003313019717762,0.002833905413342,0.003101857271372,0.003918684618116,0.003525023132318,0.003417003448417,0.00359055881323,0.00312675191223,0.025942075414174,0.00378356540773,0.003660255269539,0.022185301542112,0.00378356561394,0.004162617540512,0.003796713131183,0.003786773081055,0.003011748125862
2OXOADPt_c_m,0.087907356736905,0.084944999993755,0.08581423642988,0.084586033315461,0.085344958778689,0.133858636844912,0.084615820013344,0.084014394781415,0.084644248496014,0.085054789533162,0.086439903327307,0.086330455985547,0.086266777929351,0.084232464012625,0.138956417382846,0.085544183682259,0.086419167194595,0.136672146757447,0.085544184340407,0.087292829888903,0.085014123648857,0.084972482460084,0.085547528410869
2PHETOH2,,3.845522270196026,,,,,,,,,,,,,,,,,,,,,
2PHETOH3,,3.845522270196026,,,,,,,,,,,,,,,,,,,,,
