Rxn,13ppd,2phetoh,3hppa,3hppb,4hbz,arte,btd,btoh,citm,cou,hxdcol,lac__L,muco,nrgn,odealc,pmtalc,polyhb,retcln,rsvtol,sesqt,skm,stalc,styr,tag
13BDGLUCANt_c_en,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.008894099224708,0.008894099224708,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.008894099224708,0.066705744185311,0.01677120005756
13GS_c,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.008894099224708,0.008894099224708,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.008894099224708,0.066705744185311,0.01677120005756
13PPD1,12.942806209100167,,,,,,,,,,,,,,,,,,,,,,,
13PPD2,12.942806209100167,,,,,,,,,,,,,,,,,,,,,,,
13PPD3,12.942806209100167,,,,,,,,,,,,,,,,,,,,,,,
14DMLANOSTt_c_e,,,,,-0.009820279000643,,,,,,,,,,,,,,,,,,,
16GS_c,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.002340545928999,0.002340545928999,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.002340545928999,0.017554094467491,0.004413461445325
2OBUTt_c_m,0.00424241504829,0.004344351757279,0.005905099499269,0.004241118994755,0.004626496398562,0.007718891358463,0.003212019640298,0.006458893493811,0.003826408780507,0.004588072869552,0.005790248120004,0.003412140487974,0.004610459450349,0.004258211620256,0.000317616440777,0.000317281396776,0.006007862264987,0.013632548254492,0.004258211620271,0.007084813994076,0.00459187421028,0.000317314244202,0.004310854147372,0.000675804168051
2OXOADPt_c_m,0.025287919014116,0.028699892754919,0.038344950626,0.026182961854561,0.027845263444285,0.043479768942529,0.022795233611093,0.038580435506867,0.026486025786589,0.02966384461401,0.039147880800902,0.023795007436234,0.030816612691537,0.028223670348617,0.002155256713964,0.002154207112122,0.036145905845518,0.091350569589551,0.028223670348653,0.041169995873354,0.030770667642212,0.00215445669504,0.027688228956346,0.005006266776789
2PHETOH2,,6.197867678449607,,,,,,,,,,,,,,,,,,,,,,
2PHETOH3,,6.197867678449607,,,,,,,,,,,,,,,,,,,,,,
2PHETOHt_c_e,,-6.197867678449607,,,,,,,,,,,,,,,,,,,,,,
3HACD200_rm,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.000155007891686,0.000155007891686,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.000155007891686,0.001162559187644,0.025019827000135
3HACD220_rm,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.000155007891686,0.000155007891686,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.000155007891686,0.001162559187644,0.025019827000135
3HACD240_rm,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000119109187621,0.000119109187621,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000119109187621,0.000893318907154,0.018072060640818
3HACD260_rm,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,1.2992816545e-05,1.2992816545e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,1.2992816545e-05,9.7446124089e-05,2.4499965661e-05
3HAD100_c,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,2.567289468113901,0.014749204342787,0.014749204342787,0.014749204342787,0.095364155004636,0.108620845887279,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.096713181322485,0.014749204342787,0.370645523493515
3HAD120_c,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,2.567289468113901,0.014749204342787,0.014749204342787,0.014749204342787,0.095364155004636,0.108620845887279,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.096713181322485,0.014749204342787,0.370645523493515
3HAD140_c,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,2.567289468113901,0.014749204342787,0.014749204342787,0.014749204342787,0.095364155004636,0.108620845887279,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.096713181322485,0.014749204342787,0.370645523493515
3HAD160_c,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,2.567289468113902,0.014749204342787,0.014749204342787,0.014749204342787,0.095364155004636,0.108620845887279,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.096713181322485,0.014749204342787,0.370645523493515
3HAD180_c,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.095013838056822,0.001616243631224,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.096362864374671,0.012121827234178,0.307825773275736
3HAD40_c,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,2.567289468113901,0.014749204342787,0.014749204342787,0.014749204342787,0.095364155004636,0.108620845887279,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.096713181322485,0.014749204342787,0.370645523493515
3HAD60_c,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,2.567289468113901,0.014749204342787,0.014749204342787,0.014749204342787,0.095364155004636,0.108620845887279,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.096713181322485,0.014749204342787,0.370645523493515
3HAD80_c,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,2.567289468113901,0.014749204342787,0.014749204342787,0.014749204342787,0.095364155004636,0.108620845887279,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.096713181322485,0.014749204342787,0.370645523493515
3HPPA1,,,20.370203277029898,,,,,,,,,,,,,,,,,,,,,
3HPPA2,,,20.370203277029898,,,,,,,,,,,,,,,,,,,,,
3HPPA3,,,20.370203277029898,,,,,,,,,,,,,,,,,,,,,
3HPPB1,,,,21.29202015170315,,,,,,,,,,,,,,,,,,,,
3HPPB2,,,,21.29202015170315,,,,,,,,,,,,,,,,,,,,
3HPPB3,,,,21.29202015170315,,,,,,,,,,,,,,,,,,,,
3HPPB4,,,,21.29202015170315,,,,,,,,,,,,,,,,,,,,
