,minimum,maximum
MDH_m,-4.201949435110535,50.38094316253609
ME1_m,0.0,22.662942336320377
MAN1PT_c,0.038441099999999985,78.90459864380833
MAN6PI_c,-0.038441099999999985,-0.038441100000000006
MTHFC_m,0.0,9.335530791073703
METAT_c,0.0226369,52.600075262539015
METS_c,0.027123900000000006,5.384895887530427
FMETTRS_m,0.0,0.0
METTRS_c,0.004507,0.004507
METTRS_m,0.0,0.0
MTHFD2i_c,0.0,183.67972724956167
MTHFD_m,0.0,9.33553079107368
MCITL2_m,0.0,0.0
MEVK1_c,0.0,3.077649296085742
MEVK2_c,0.0,3.077649296085742
MEVK3_c,0.0,3.077649296085742
MEVK4_c,0.0,3.077649296085742
DPMVD_c,0.089478,3.077649296085742
MI1PP_c,0.0047006,52.58213896253907
M1PS_c,0.0047006,0.004700599999999611
AGPRi_m,0.015270400000000003,11.326150889090117
ACGAM6PS_c,0.0071664,0.0071664
ACGS_m,0.0,0.0
FKYNH_c,1.9999999999975333e-05,11.420816872297515
NADDP_x,0.0,0.0
NADK_c,0.0,1.0000000000065512e-05
NADK_m,0.0,0.0
NADN_n,0.0,0.0
NADS2_c,1.9999999999975333e-05,1.9999999974665283e-05
NADS2_n,0.0,0.0
NADHq9_c,0.0,50.261724962535965
NADHK1_c,0.0,9.999999998032416e-06
NADHK1_m,0.0,0.0
NAMNPP_c,0.0,0.0
NAMNPP_m,0.0,0.0
NNAM_c,0.0,0.0
NNMT_c,0.0,0.0
NNDPR_c,1.9999999999975333e-05,1.9999999974884292e-05
NNDPR_m,0.0,0.0
NDP1_c,0.0,157.73231508761725
NDP3_c,0.0,157.73231508761728
NDP7_c,0.0,157.73231508761702
NDP7_g,0.0,0.0
NDP5_c,0.0,157.7323150876176
NDP10_c,0.0,61.2265757498541
NDPK3_c,0.0,157.84077728761716
NDPK8_c,0.0,157.7403419876177
NDPK7_c,0.0011074000000000001,1.9104182895712887
NDPK5_c,0.0011074000000000001,157.73342248761725
NDPK4_c,0.0007095000000000001,1.9783476172414152
NDPK1_c,0.05708140000000123,157.8788944876173
NDPK9_c,0.0,157.73231508761734
NDPK10_c,0.0,0.0
NDPK6_c,0.0,78.86686704380867
NTP3_c,0.0,157.73231508761725
NTP7_c,0.0,157.73231508761737
NTP5_c,0.0,157.73231508761705
NTP10_c,0.0,157.73231508761737
NDP3_g,0.0,0.0
NDPK2_c,0.1454816,157.96798418761725
AHSERL_c,0.0,0.0
AHSERL2_c,0.0,2.772940287704591
SHSL1_c,0.0,0.0
OCBT_c,0.0152604,29.49503580490135
ORNDC_c,1.0000000000003062e-05,3.5933814901811343
ORNTACi_m,0.015270400000000003,11.326150889090068
ORNTA_c,0.0,11.310880489090067
ORPT_c,-1.990205117241363,-0.012566999999999998
OMPDC_c,0.012566999999999998,1.9902051172414177
PTPAT_c,9.999999999996123e-06,9.999999999940612e-06
PNTK_c,9.999999999996123e-06,9.999999999940612e-06
PBAL_c,9.999999999996123e-06,1.8202377543892758
FACOAE100_x,0.0,78.8661575438087
FACOAE120_x,0.0,78.8661575438087
FACOAE160_x,0.0,78.86615754380865
FACOAE140_x,0.0,78.86615754380863
FACOAE180_x,0.0,78.86615754380865
FACOAE80_x,0.0,78.8661575438087
PHETA1_c,-2.246974677696155,-0.014865100000000001
PHETRS_c,0.014865100000000001,0.014865100000000001
PHETRS_m,0.0,0.0
PRAIS_c,0.012127500000009839,5.176348149304477
ACGAMPM_c,0.0071664,0.0071664
PAPSR_c,0.005090500000000053,24.965591404558996
PPCK_c,0.0,157.73231508761683
PFK_c,0.0,162.48748287583496
GND_c,0.0,26.00346853489208
PGAMT_c,0.0,0.0
PGCD_c,0.0,63.70123236473805
PGK_c,-27.51127559433693,9.546271233333467
PGM_c,-60.86182318318568,9.546271233333433
PMANM_c,-78.90459864380655,-0.038441099999999985
PMPK_c,1e-05,52.577448362539045
PMEVK_c,0.08947799999999997,3.077649296085741
PPNCL2_c,1.0000000000218168e-05,9.999999999996123e-06
PPCDC_c,1.0000000000218168e-05,9.999999999996123e-06
PPM_c,-157.73233508761285,78.86615754380863
PRASCSi_c,0.012117500000003622,5.176338149304484
PRAMPC_c,0.0076302,0.0076302
PRATPP_c,0.0076302,0.0076302
AIRC1_c,0.012117500000003622,5.176338149304484
PRAGSi_c,0.012127500000003621,5.176348149304483
GLUPRT_c,0.012127500000003621,5.176348149304483
PSERT_c,0.0,63.70123236473808
PSPHPL_r,0.0,0.0
PSPHS_r,0.0,0.00040405
POLYAO1_c,0.0,1.8202377543892792
PPBNGS_1_c,4e-05,4e-05
POLYAO2_c,0.0,0.9101188771946369
POLYAO3_c,0.0,1.8202377543892792
PPNDH_c,0.014865100000000001,2.2469746776962203
PPND2_c,0.0077488,0.0077488
PROD2_m,0.0,15.709828592586318
PROTRS_c,0.016683700000000003,0.016683700000000003
PPPGO_m,5e-06,5e-06
PNP_c,0.0,0.0
PUNP3_c,0.0,0.0
PUNP3_m,0.0,0.0
PUNP5_c,-2.640638137456968,5.171538049304488
PYDXO_c,0.0,0.0
PYAM5PO_c,0.0,0.0
PDX5POi_c,0.0,0.0
PYDXNO_c,0.0,45.63598600786933
P5CR_c,0.0,15.726512292586243
PC_c,0.0,158.28266718552314
PYRDC_c,0.0,17.335645689928064
PYRDC2_c,0.0,4.353481472629408
PDH_m,0.0,17.33564568992799
PYK_c,0.0,158.78486291923997
RBFK_c,1e-05,1e-05
RBFK_m,0.0,0.0
RBFSa_c,4e-05,4e-05
RBFSb_c,2e-05,2e-05
RBK_c,0.0,157.73231508761705
RNDR1_c,0.0007095000000000001,0.0007095000000000001
RNDR1_n,0.0,0.0
RNDR3_c,0.0011074000000000001,1.9567607868909866
RNDR3_n,0.0,0.0
RNDR2_c,0.0011074000000000001,0.0011074000000000001
RNDR2_n,0.0,0.0
RPI_c,-16.5110970250718,12.642335437544233
RNMK_c,0.0,0.0
RPE_c,-7.575510967710768,17.303908123261422
SAM24MT_c,0.0102571,0.4318463555102383
SFGTHi_c,0.0,0.0
SACCD2_c,0.025974300000000002,2.9484275464012444
SACCD1_c,0.025974300000000002,2.9484275464012444
FBA3_c,-157.73231508761256,0.0
SERAT_c,0.0,4.3555663101308975
SERPT_r,0.0008081,0.0008081
SERTRS_c,0.021072,0.021072
SHK3Di_c,0.0252136999999991,2.9223292139768797
SHKK_c,0.0252136999999991,2.9223292139768797
SHCHD2_c,0.0,0.0
SHCHF_c,0.0,0.0
SPHPL_r,0.0,0.0
SBPP2_r,0.0,157.7323150876171
SBPP1_r,0.0,157.7323150876171
SPHGLpK_r,0.0,157.7323150876171
SLCBK1_r,0.0,157.7323150876171
ACONIs_m,0.0,0.0
ACONIs_c,0.0,0.0
SQLEx_r,0.0,0.0
SQLEy_r,0.0102571,0.4902142123198944
SQLS_c,0.0102571,0.4902142123198944
SUCOAS_m,0.0,12.565431240634005
SSALy_c,1e-05,15.184051181811707
SUCR_e,0.0,0.0
SADT_c,0.005090500000000102,24.96559140455923
SO3R_c,0.005090500000000102,4.3566163592404505
TAUDO_c,0.0,0.0
THFGLUS_c,0.0,0.0
TMDPK_c,0.0,1e-05
TMDPPK_c,0.0,0.0
TMPPP_c,1e-05,52.57744836253901
THIORDXi_n,0.0,0.0
TRDR_c,0.008724300000000101,24.96922520455923
THRA_c,0.0,30.541407811814047
THRS_c,0.0220209,30.586617918565274
THRTRS_c,0.0220209,0.0220209
TMDS_c,0.0007095000000000001,1.9783476172414187
ACONMT_c,0.0,0.0
PPTT_m,0.0,0.0
TALA_c,-16.546061525071813,157.69272930916767
TRE6PP_c,0.0,52.57743836253907
TPI_c,-32.276861394336905,4.780685433333388
TRPS1_c,0.0025898000000001975,11.423386672297553
TRPTA_c,0.0,1.8941375114772854
TRPTRS_c,0.0025698,0.0025698
TRPTRS_m,0.0,0.0
TYRTA_c,0.0077488,0.0077488
TYRTAi_x,0.0,0.0
TYRTRS_c,0.0077488,0.0077488
TYRTRS_m,0.0,0.0
ERGSTGLCT_c,0.0,0.0
