,Model1 Minimum,Model1 Maximum,Model2 Minimum,Model2 Maximum,Minimum Difference,Maximum Difference,Abs Min Difference,Abs Max Difference,Max Difference
AKGMALta_m,19.703951355698194,1000.0,6.027692741070629,8.044133205403801,13.676258614627566,991.9558667945962,13.676258614627566,991.9558667945962,991.9558667945962
CITMALta_m,-980.2960486443578,-2.0252006469123803e-11,0.0,1.9754925683867601,-980.2960486443578,-1.9754925684070122,980.2960486443578,1.9754925684070122,980.2960486443578
AKGCITta_m,0.0,980.2960486443795,0.0,1.975492568384344,0.0,978.3205560759952,0.0,978.3205560759952,978.3205560759952
ATPS_m,25.072006129604233,25.072006129602453,58.45374253496394,58.45374253496055,-33.38173640535971,-33.3817364053581,33.38173640535971,33.3817364053581,33.38173640535971
H2Ot_c_m,-95.39340124925373,-95.39340124925012,-75.1691781657039,-75.16917816570218,-20.22422308354983,-20.22422308354794,20.22422308354983,20.22422308354794,20.22422308354983
HCO3E_e,0.0,0.0,0.0,14.316346031833051,0.0,-14.316346031833051,0.0,14.316346031833051,14.316346031833051
EX_hco3_e,0.0,0.0,0.0,14.316346031832905,0.0,-14.316346031832905,0.0,14.316346031832905,14.316346031832905
EX_h2o_e,21.045630814213474,35.335839202640315,6.744171330910403,35.376863394575345,14.301459483303072,-0.04102419193502982,14.301459483303072,0.04102419193502982,14.301459483303072
PItps_m,75.09589297840056,75.09589297841644,61.08987206480523,61.0898720647898,14.006020913595329,14.006020913626642,14.006020913595329,14.006020913626642,14.006020913626642
ADPATPt_c_m,75.09589297840536,75.09589297841175,61.18450061615558,61.18450061615355,13.911392362249778,13.911392362258205,13.911392362249778,13.911392362258205,13.911392362258205
ASPGLUt_c_m,18.6752909944499,18.675290994444257,5.063357631753564,5.104305527699441,13.611933362696334,13.570985466744816,13.611933362696334,13.570985466744816,13.611933362696334
ASPTAi_m,18.67529099443014,18.675290994435667,5.063357631765554,5.104305527681084,13.611933362664583,13.570985466754582,13.611933362664583,13.570985466754582,13.611933362664583
ASPTA_c,18.153130544253894,18.15313054423322,4.542067607406509,4.58301550335149,13.611062936847386,13.570115040881731,13.611062936847386,13.570115040881731,13.611062936847386
MDH_c,-19.55426121718065,-19.554261217178507,-7.894693076270118,-7.853745180334553,-11.65956814091053,-11.700516036843954,11.65956814091053,11.700516036843954,11.700516036843954
MDH_m,19.12346932532321,19.12346932531196,10.322687857322606,10.363635753259548,8.800781468000604,8.759833572052411,8.800781468000604,8.759833572052411,8.800781468000604
GHMT2r_c,8.524787798817158,8.524787798825706,0.22409001144979432,0.22409001144737864,8.300697787367364,8.300697787378327,8.300697787367364,8.300697787378327,8.300697787378327
MTHFD_c,8.420153382694679,8.420153382658857,0.11962956648031216,0.1196295664756288,8.300523816214367,8.300523816183228,8.300523816214367,8.300523816183228,8.300523816214367
MTHFC_c,8.420153382661184,8.420153382650902,0.11962956647550854,0.11962956647604171,8.300523816185676,8.300523816174861,8.300523816185676,8.300523816174861,8.300523816185676
GLYt_c_m,8.347032145626432,8.347032145625356,0.04663065563750707,0.046630655636421034,8.300401489988925,8.300401489988936,8.300401489988925,8.300401489988936,8.300401489988936
FTHFL_c,-8.300323078192067,-8.300323078190026,0.0,8.259482285854533e-13,-8.300323078192067,-8.300323078190852,8.300323078192067,8.300323078190852,8.300323078192067
FDH_c,8.339296234750176,8.339296234753382,0.08520123770906074,0.08520123771036599,8.254094997041115,8.254094997043016,8.254094997041115,8.254094997043016,8.254094997043016
CO2t_c_m,-6.161680879837078,-6.161680879836918,-12.169526390196449,-12.169526390202913,6.00784551035937,6.007845510365995,6.00784551035937,6.007845510365995,6.007845510365995
LACtps_m,0.0,0.6540626552247459,0.0,5.622115728119091,0.0,-4.968053072894345,0.0,4.968053072894345,4.968053072894345
PYRtps_m,0.0,0.6540626552322112,0.0,5.622115728115471,0.0,-4.96805307288326,0.0,4.96805307288326,4.96805307288326
LACPYRt_c_m,-0.654062655508927,-1.1931823437100133e-12,-5.622115728118331,-3.267761859039306e-14,4.968053072609404,-1.1605047251196203e-12,4.968053072609404,1.1605047251196203e-12,4.968053072609404
CS_m,0.44817833087407327,0.4481783308962668,5.259330225564151,5.2593302255648045,-4.811151894690077,-4.811151894668537,4.811151894690077,4.811151894668537,4.811151894690077
PDH_m,0.5458238113431306,0.5458238113215602,5.356813355038428,5.356813355036178,-4.810989543695297,-4.8109895437146175,4.810989543695297,4.8109895437146175,4.8109895437146175
PYK_c,2.0453822774419805,2.045382277449239,6.853877442979312,6.853877442976963,-4.808495165537331,-4.808495165527724,4.808495165537331,4.808495165527724,4.808495165537331
PGM_c,2.2349545739774754,2.234954573971091,7.043134545696128,7.043134545697583,-4.808179971718652,-4.808179971726492,4.808179971718652,4.808179971726492,4.808179971726492
ENO_c,2.234954573975858,2.2349545739831336,7.0431345456969865,7.04313454569205,-4.808179971721128,-4.808179971708917,4.808179971721128,4.808179971708917,4.808179971721128
GLUDy_c,6.248165716808733,6.248165716804376,2.0550440355377146,2.055044035540676,4.193121681271018,4.1931216812637,4.193121681271018,4.1931216812637,4.193121681271018
NH4t_c_m,-4.321487078220313,-4.3214870782371015,-0.13157180620635775,-0.13157180622949144,-4.189915272013955,-4.18991527200761,4.189915272013955,4.18991527200761,4.189915272013955
GLYCL_m,4.1733844969251415,4.173384496914918,0.0,0.04633041076532396,4.1733844969251415,4.1270540861495935,4.1733844969251415,4.1270540861495935,4.1733844969251415
SERt_c_m,-4.173346903799312,-4.173346903805795,0.0,0.0,-4.173346903799312,-4.173346903805795,4.173346903799312,4.173346903805795,4.173346903805795
PSP_L_c,4.485964843788348,4.485964843793287,0.35839029294315755,0.3583902929411592,4.12757455084519,4.1275745508521275,4.12757455084519,4.1275745508521275,4.1275745508521275
PSERT_c,4.485964843785054,4.485964843780101,0.3583902929404612,0.3583902929404151,4.127574550844593,4.127574550839686,4.127574550844593,4.127574550839686,4.127574550844593
PGCD_c,4.485964843778348,4.485964843781375,0.3583902929401133,0.35839029293944763,4.127574550838235,4.127574550841927,4.127574550838235,4.127574550841927,4.127574550841927
FBA3_c,4.95612223662985e-12,0.0,1.7347713886862338e-12,3.321833165962762,3.221350847943616e-12,-3.321833165962762,3.221350847943616e-12,3.321833165962762,3.321833165962762
ICDHx_m,0.012487680401131936,0.44817833087492404,2.8631506818258026,3.1892091058214143,-2.8506630014246706,-2.7410307749464904,2.8506630014246706,2.7410307749464904,2.8506630014246706
FUM_m,-1.3679490582635483e-13,-2.866809296321287e-12,2.7417759420433145,2.7417759420353462,-2.7417759420434513,-2.741775942038213,2.7417759420434513,2.741775942038213,2.7417759420434513
SUCOAS_m,0.0,2.8638674280562515e-12,2.7417759420431205,2.741775942038915,-2.7417759420431205,-2.741775942036051,2.7417759420431205,2.741775942036051,2.7417759420431205
SUCDq9_m,0.0472819864827698,0.04728198648539324,2.7889781888559946,2.7889781888533975,-2.741696202373225,-2.7416962023680043,2.741696202373225,2.7416962023680043,2.741696202373225
ACONTb_m,0.4481783308740815,0.44817833087255854,3.18920910581969,3.189209105827219,-2.7410307749456084,-2.7410307749546603,2.7410307749456084,2.7410307749546603,2.7410307749546603
ACONTa_m,0.4481783308740941,0.4481783308729009,3.1892091058221257,3.1892091058238417,-2.7410307749480314,-2.7410307749509406,2.7410307749480314,2.7410307749509406,2.7410307749509406
NADHcplxI_c_m,24.53351838346852,24.533518383471225,21.850739954307667,21.85073995430694,2.682778429160855,2.682778429164287,2.682778429160855,2.682778429164287,2.682778429164287
PFK_c,2.6427623307203523,2.6427623306960855,0.0,3.321833165964825,2.6427623307203523,-0.6790708352687393,2.6427623307203523,0.6790708352687393,2.6427623307203523
FBA_c,2.642762330719163,2.642762330717588,1.8018430185038896e-12,3.321833165962082,2.6427623307173613,-0.6790708352444943,2.6427623307173613,0.6790708352444943,2.6427623307173613
PGL_c,0.6240938725872114,0.6240938725902347,2.737847542202762,2.7378475421932027,-2.1137536696155506,-2.1137536696029677,2.1137536696155506,2.1137536696029677,2.1137536696155506
G6PDH2i_c,0.6240938725902005,0.6240938725862345,2.737847542195764,2.7378475421969504,-2.113753669605564,-2.1137536696107158,2.113753669605564,2.1137536696107158,2.1137536696107158
GND_c,0.6240938725898538,0.6240938725877645,2.737847542189654,2.737847542194199,-2.1137536695998,-2.1137536696064343,2.1137536695998,2.1137536696064343,2.1137536696064343
PGI_c,3.882841243242712,3.882841243239046,1.7699073717014673,1.7699073716770892,2.112933871541245,2.1129338715619568,2.112933871541245,2.1129338715619568,2.1129338715619568
PPA_c,5.201436847379283,5.204141671882975,3.121926654669489,3.1219641852951105,2.0795101927097943,2.0821774865878644,2.0795101927097943,2.0821774865878644,2.0821774865878644
ADK1_c,4.091202813506053,4.091202813510076,2.0135404363824465,2.013540436373176,2.0776623771236062,2.0776623771369,2.0776623771236062,2.0776623771369,2.0776623771369
ACS_c,2.0735687545350965,2.0735687545422414,0.0,-3.304962713033595e-14,2.0735687545350965,2.0735687545422743,2.0735687545350965,2.0735687545422743,2.0735687545422743
ACKr_c,-2.0480076930336057,-2.048007693034789,0.025518562213564886,0.025518562212530158,-2.0735262552471707,-2.073526255247319,2.0735262552471707,2.073526255247319,2.073526255247319
ACITL_c,0.0,-5.68191045348525e-12,2.0701211197454037,2.0701211197473945,-2.0701211197454037,-2.0701211197530767,2.0701211197454037,2.0701211197530767,2.0701211197530767
TALA_c,-0.48691998622181304,-0.48691998621885674,-2.412972130886015,0.908861035079186,1.9260521446642018,-1.3957810212980428,1.9260521446642018,1.3957810212980428,1.9260521446642018
TKT1_c,-0.48691998622037036,-0.48691998618668525,0.9088610350837393,0.9088610350794829,-1.3957810213041095,-1.395781021266168,1.3957810213041095,1.395781021266168,1.3957810213041095
RPI_c,-0.3554756653122382,-0.3554380721644246,1.0400849325653851,1.0401224631738017,-1.3955605978776233,-1.3955605353382263,1.3955605978776233,1.3955605353382263,1.3955605978776233
TKT2_c,-0.5817061344846178,-0.5817061344686955,0.7887139215133365,0.7887139215095209,-1.3704200559979545,-1.3704200559782165,1.3704200559979545,1.3704200559782165,1.3704200559979545
RPE_c,0.9793815723359597,0.9794191654379779,1.6975749565965856,1.6976124871978235,-0.718193384260626,-0.7181933217598456,0.718193384260626,0.7181933217598456,0.718193384260626
PGK_c,6.720919417758112,6.720919417756852,7.401524838639132,7.401524838633023,-0.6806054208810197,-0.6806054208761712,0.6806054208810197,0.6806054208761712,0.6806054208810197
GAPD_c,6.720919417760548,6.72091941777337,7.4015248386350025,7.401524838633326,-0.6806054208744543,-0.6806054208599557,0.6806054208744543,0.6806054208599557,0.6806054208744543
TPI_c,2.6021572571033422,2.602157257112689,3.2812956046815023,3.2812956046792854,-0.67913834757816,-0.6791383475665964,0.67913834757816,0.6791383475665964,0.67913834757816
ATPM_c,1.31286027539074,1.3128602753942662,1.0124,1.0123999999984736,0.30046027539073994,0.30046027539579256,0.30046027539073994,0.30046027539579256,0.30046027539579256
HCO3E_c,2.3053863122355547,2.305386312237702,2.1443074990534363,2.1443074990377733,0.16107881318211836,0.16107881319992856,0.16107881318211836,0.16107881319992856,0.16107881319992856
PC_c,1.4011306729373696,1.4011306729330641,1.2415564531740433,1.2415564531768928,0.1595742197633263,0.15957421975617136,0.1595742197633263,0.15957421975617136,0.1595742197633263
ME1_m,0.1447913798812797,0.5804820303586888,0.09621497019758099,0.42227339420091015,0.048576409683698724,0.1582086361577787,0.048576409683698724,0.1582086361577787,0.1582086361577787
GLUt_c_m,0.7009081856468764,0.7009081856668271,0.5745129314272059,0.5745129314489201,0.12639525421967046,0.12639525421790698,0.12639525421967046,0.12639525421790698,0.12639525421967046
ME2_m,0.0,0.4356906504773902,0.0,0.32605842394171985,0.0,0.10963222653567034,0.0,0.10963222653567034,0.10963222653567034
ICDHyi_m,0.0,0.43569065047373934,0.0,0.3260584239999111,0.0,0.10963222647382825,0.0,0.10963222647382825,0.10963222647382825
DDPA_c,0.09478614826561069,0.09478614826570168,0.0,-5.208219385422516e-13,0.09478614826561069,0.0947861482662225,0.09478614826561069,0.0947861482662225,0.0947861482662225
2DDA7Pt_c_m,0.0,0.0,-0.09462855135821557,-0.09462855135866084,0.09462855135821557,0.09462855135866084,0.09462855135821557,0.09462855135866084,0.09462855135866084
CITt3_m,0.0,0.0,-0.0946285513582208,-0.09462855135813834,0.0946285513582208,0.09462855135813834,0.0946285513582208,0.09462855135813834,0.0946285513582208
DDPA_m,0.0,0.0,0.09462855135729328,0.09462855135821756,-0.09462855135729328,-0.09462855135821756,0.09462855135729328,0.09462855135821756,0.09462855135821756
E4Pt_c_m,0.0,0.0,0.09462855135672368,0.09462855135820235,-0.09462855135672368,-0.09462855135820235,0.09462855135672368,0.09462855135820235,0.09462855135820235
ORNTACi_m,0.12012541040180078,0.12012541040255911,0.057310741012249956,0.05731074096660873,0.06281466938955083,0.06281466943595038,0.06281466938955083,0.06281466943595038,0.06281466943595038
ACGK_m,0.1201254104041031,0.12012541040332003,0.05731074101224992,0.05731074099213688,0.06281466939185318,0.06281466941118316,0.06281466939185318,0.06281466941118316,0.06281466941118316
AGPRi_m,0.12012541039654953,0.12012541040307917,0.057310741012249936,0.05731074101212833,0.0628146693842996,0.06281466939095084,0.0628146693842996,0.06281466939095084,0.06281466939095084
ACOTAi_m,0.12012541039504815,0.12012541040370835,0.05731074101224993,0.05731074101888999,0.06281466938279823,0.06281466938481836,0.06281466938279823,0.06281466938481836,0.06281466938481836
PROt_c_m,-0.06271922255847617,-0.06271922256658678,9.208633855457025e-12,1.7483567683151365e-13,-0.06271922256768481,-0.06271922256676161,0.06271922256768481,0.06271922256676161,0.06271922256768481
ORNCD_m,0.06271922254873394,0.06271922255616244,0.0,-6.803714121079974e-12,0.06271922254873394,0.06271922256296615,0.06271922254873394,0.06271922256296615,0.06271922256296615
P5CR_c,0.0,1.947012205984574e-11,0.0626149420075844,0.06261494196786431,-0.0626149420075844,-0.06261494194839419,0.0626149420075844,0.06261494194839419,0.0626149420075844
GLU5K_c,1.2053823744213698e-15,3.847144202331249e-12,0.06261494198074484,0.0626149419682819,-0.06261494198074363,-0.06261494196443476,0.06261494198074363,0.06261494196443476,0.06261494198074363
G5SDy_c,0.0,-1.1269265185818009e-11,0.06261494197650952,0.0626149419677773,-0.06261494197650952,-0.06261494197904656,0.06261494197650952,0.06261494197904656,0.06261494197904656
G5SADr_c,0.0,-4.047791254475674e-12,0.0626149419616554,0.0626149419664975,-0.0626149419616554,-0.06261494197054529,0.0626149419616554,0.06261494197054529,0.06261494197054529
FECRq9_m,24.580800369954673,24.580800369954343,24.63971814316055,24.63971814316148,-0.05891777320587721,-0.058917773207138424,0.05891777320587721,0.058917773207138424,0.058917773207138424
EX_h_e,0.7941631664230412,29.37457994328176,0.7928374907340369,29.42552955439955,0.0013256756890043242,-0.05094961111779028,0.0013256756890043242,0.05094961111779028,0.05094961111779028
EX_nh4_e,-31.00816688089583,-2.427750104047121,-31.056398895102124,-2.42370683143758,0.048232014206295304,-0.004043272609541404,0.048232014206295304,0.004043272609541404,0.048232014206295304
NH4t_c_e,2.4277501040473544,31.00816688091345,2.4237068314374643,31.05639889510117,0.004043272609890014,-0.04823201418772172,0.004043272609890014,0.04823201418772172,0.04823201418772172
MTHFD_m,0.0,-1.2218144414791252e-11,0.0462928801601054,0.04629288015872107,-0.0462928801601054,-0.046292880170939216,0.0462928801601054,0.046292880170939216,0.046292880170939216
MTHFC_m,0.0,-5.8129332244010685e-12,0.0462928801569216,0.046292880156735695,-0.0462928801569216,-0.04629288016254863,0.0462928801569216,0.04629288016254863,0.04629288016254863
FTHFL_m,2.355998365341184e-12,0.0,-0.04629288015925166,-0.046292880157474216,0.04629288016160766,0.046292880157474216,0.04629288016160766,0.046292880157474216,0.04629288016160766
FORt_c_m,0.0,5.550652122178318e-12,0.04629288015873903,0.04629288015826523,-0.04629288015873903,-0.04629288015271458,0.04629288015873903,0.04629288015271458,0.04629288015873903
H2Ot_c_e,-35.33583920263952,-21.045630814214647,-35.37686339457553,-21.06051736274308,0.04102419193601037,0.014886548528433963,0.04102419193601037,0.014886548528433963,0.04102419193601037
GLYC3Pt_c_m,0.0,-1.5958380211080565e-12,-0.04094789593797649,-4.191657681739651e-13,0.04094789593797649,-1.1766722529340914e-12,0.04094789593797649,1.1766722529340914e-12,0.04094789593797649
DHAPt_c_m,0.0,2.4631091694833482e-12,-0.04094789593767379,3.891618237404176e-13,0.04094789593767379,2.0739473457429305e-12,0.04094789593767379,2.0739473457429305e-12,0.04094789593767379
GLNS_c,0.5034905823046435,0.5061578136937188,0.4720232187277406,0.47202321872734565,0.031467363576902885,0.034134594966373166,0.031467363576902885,0.034134594966373166,0.034134594966373166
CTPS2_c,0.03067823609927818,0.033345467491702384,0.0,4.383657533536225e-12,0.03067823609927818,0.033345467487318724,0.03067823609927818,0.033345467487318724,0.033345467487318724
CTPS1_c,0.0,0.0,0.03328927478527116,0.03328927478651195,-0.03328927478527116,-0.03328927478651195,0.03328927478527116,0.03328927478651195,0.03328927478651195
FECOOR_m,12.29040018497719,12.290400184977578,12.31985907158119,12.319859071580213,-0.029458886604000867,-0.02945888660263485,0.029458886604000867,0.02945888660263485,0.029458886604000867
O2t_c_m,12.290531760873673,12.290531760873847,12.319990428712096,12.319990428711462,-0.02945866783842277,-0.029458667837614527,0.02945866783842277,0.029458667837614527,0.02945866783842277
O2t_c_e,12.781057895753316,12.781057895753037,12.809700986596926,12.809700986596793,-0.028643090843610608,-0.02864309084375627,0.028643090843610608,0.02864309084375627,0.02864309084375627
EX_o2_e,-12.781057895753522,-12.781057895753229,-12.809700986596955,-12.809700986596976,0.028643090843432972,0.028643090843747387,0.028643090843432972,0.028643090843747387,0.028643090843747387
EX_co2_e,0.0,14.290208388424912,0.0,14.316346031832607,0.0,-0.02613764340769542,0.0,0.02613764340769542,0.02613764340769542
UREA_c,-14.290208388420721,4.1627962204745136e-13,-14.316346031828319,2.7043125299933964e-13,0.02613764340759772,1.4584836904811172e-13,0.02613764340759772,1.4584836904811172e-13,0.02613764340759772
UREAtps_e,-14.290208388425082,0.0,-14.316346031832149,0.0,0.02613764340706659,0.0,0.02613764340706659,0.0,0.02613764340706659
