,minimum,maximum
ILEtpa_v,0.0,1000.0
TYRtpa_v,0.0,1000.0
TYRt_c_v,0.0,1000.0
LEUtpa_v,0.0,1000.0
UGLT_c,-1000.0,0.0
HCO3t_c_n,-1000.0,999.5170990398199
HCO3E_n,-999.5170990398199,1000.0
ILEt_c_v,0.0,1000.0
Kt_c_e,0.2804653830423388,1000.0
AKGMALta_m,0.0,1000.0
HCO3E_c,-999.5170990398199,1000.0
H2Ot_c_n,-999.51709903982,1000.0
GALT_c,0.0,1000.0
CO2t_c_n,-1000.0,999.5170990398199
Ht_c_v,-1000.0,-5.400124791776761e-13
Ht_c_n,-1000.0,999.51709903982
LEUt_c_v,0.0,1000.0
Ktps_e,-999.9408029714931,-0.22126835453630864
GALUi_c,-999.8274286058794,0.1725713941198314
Ht_c_e,0.0,999.719534616958
AKGCITta_m,-5.943572581384766,994.0564274186121
CITMALta_m,-994.0564274185963,5.943572581384747
H2Ot_c_m,-28.69080451895608,-28.69080451897314
ADPATPt_c_m,22.620345708678208,22.62034570867347
PItps_m,22.620345708673348,22.62034570867144
EX_h2o_e,1.5630841054701827,9.845202268682037
H2Ot_c_e,-9.845202268682016,-5.704143187076324
NH4t_c_e,0.5246008822106505,8.80671904542251
EX_nh4_e,-8.806719045422504,-0.5246008822106984
EX_h_e,0.16732848306080716,8.449446646272623
ATPS_m,7.544210314852098,7.544210314850085
FECRq9_m,7.402410964067505,7.402410964067233
NADHcplxI_c_m,7.39243347756435,7.392433477563969
MDH_c,-5.911727035073736,-5.911717210278685
MDH_m,5.832780666824522,5.832780666813714
ASPGLUt_c_m,5.736873730852514,5.736873730813386
ASPTAi_m,5.736873730829952,5.736873730823461
ASPTA_c,5.6254489020605565,5.625458726863023
HCO3E_e,0.0,4.141059081606502
EX_urea_e,0.0,4.141059081605975
EX_co2_e,0.0,4.141059081605922
EX_hco3_e,0.0,4.141059081605922
CO2t_c_e,0.0,4.141059081605922
UREAtps_e,-4.141059081605469,0.0
UREA_c,-4.141059081602105,0.0
