,fluxes,reduced_costs,abs,unique
ARABRy_c,0.0,2.0,0.0,False
XYLURy_c,0.0,-697.3793103448279,0.0,False
XYLURx_c,0.0,-710.7816091954028,0.0,False
RBK_D_c,0.0,-2.0,0.0,False
GTPDPDP_c,0.0,-2.0,0.0,False
PPGPPDP_c,0.0,-2.0,0.0,False
2OGMAH_c,0.0,-2.0,0.0,False
2OSUCAH_c,0.0,-2.0,0.0,False
ORNCD_m,0.0,12.206896551723503,0.0,True
GBBOX_c,0.0,-1.9999999999998863,0.0,False
HACD40y_c,0.0,-2.0,0.0,False
UDPGLDC_c,0.0,-2.0,0.0,False
FRMDAH_c,0.0,-2.0,0.0,False
MGCH_m,0.0,-2.0,0.0,False
ADPRDP_m,0.0,-2.0,0.0,False
G6PE_c,0.0,-2.0,0.0,False
SULFOX2_c,0.0,204.9540229885066,0.0,True
MANNAN14H_c,0.0,-2.0,0.0,False
AEPI1_c,0.0,2.0,0.0,False
AEPI2_c,0.0,-2.0,0.0,False
GALOX_e,0.0,-2.0,0.0,False
ACPCS_c,0.0,-2.0,0.0,False
CATDOX_c,0.0,-2.0,0.0,False
TMLYSOX_m,0.0,-2.0,0.0,False
BZHYOX_r,0.0,89.67816091954046,0.0,False
ARAB14LO_x,0.0,-2.0,0.0,False
3OAR80_m,0.0,-2.0,0.0,False
3OAR60_m,0.0,74.27586206896558,0.0,False
3OAR40_m,0.0,-2.0,0.0,False
ACHAH_e,0.0,-2.0,0.0,False
BTS1_m,0.0,-2.0,0.0,False
FACOAE120_c,0.0,76.34195568969153,0.0,True
FACOAE160_c,0.0,82.18390804597766,0.0,True
FACOAE140_c,0.0,-2.0,0.0,True
FACOAE180_c,0.0,82.18390804597766,0.0,True
FACOAE161_c,0.0,78.18390804597766,0.0,True
FACOAE181_c,0.0,86.18390804597766,0.0,True
FACOAL200_x,0.0,-1.9999999999995453,0.0,False
FACOAL220_x,0.0,-1.9999999999995453,0.0,False
FACOAL240_x,0.0,-2.0000000000004547,0.0,False
FACOAL260_x,0.0,-2.0000000000004547,0.0,False
FUMACACH_m,0.0,-2.0,0.0,False
TYRTA_m,0.0,-2.0,0.0,False
PHETA1_m,0.0,-2.0,0.0,False
EGHLAT_m,0.0,-2.0,0.0,False
ALDD20y_c,0.0,-1.9999999999997726,0.0,False
STEHz161_rm,0.0,5.0,0.0,False
STEHz181_rm,0.0,-2.0,0.0,False
MCOATA_m,0.0,-2.0,0.0,False
ACONTa_m,0.14966476693862174,-2.0,0.14966476693862174,False
ACONTb_m,0.14966476693862174,-2.0,0.14966476693862174,False
MALT_c,0.0,-2.0,0.0,False
CERS2A24_r,0.000224502524563985,-2.0000000000009095,0.000224502524563985,False
ALATA_L_m,-0.0328153948023877,2.0000000000000284,0.0328153948023877,False
GPIA1_c,0.0018879214898243,-2.0,0.0018879214898243,True
GPIA2_c,0.0018879214898243,-2.0,0.0018879214898243,True
GPIA3_c_r,0.0018879214898243,-2.0,0.0018879214898243,True
GPIA4_r,0.0018879214898243,-2.0,0.0018879214898243,True
GPIA5_r,0.0018879214898243,-1.9999999999990905,0.0018879214898243,True
GPIA6_r,0.0018879214898243,-2.0,0.0018879214898243,True
GPIA7_r,0.0018879214898243,-2.0,0.0018879214898243,True
GPIA8a_r,0.0018879214898243,-2.0,0.0018879214898243,True
GPIA9a_r,0.0018879214898243,-2.0,0.0018879214898243,True
GPIA10a_r,0.0018879214898243,-2.0,0.0018879214898243,True
GPIA8b_r,0.0,-2.0,0.0,False
PCOATA140_c,0.0,2.0000000000002274,0.0,True
PCOATA160_c,0.007143708447881875,-2.0,0.007143708447881875,True
PCOATA180_c,0.022309155856258,-2.0,0.022309155856258,True
ACCOAC_c,0.23637621248657126,-1.9999999999997726,0.23637621248657126,False
EAR40y_c,0.02945286430413986,-2.0,0.02945286430413986,True
EAR60y_c,0.02945286430413986,-2.0,0.02945286430413986,True
MCOATA_c,0.22847920598523708,-2.0,0.22847920598523708,True
3HAD40_m,0.0,2.0,0.0,False
3HAD60_m,0.0,2.0,0.0,False
3HAD80_m,0.0,-2.0,0.0,False
EX_arach_e,0.0,5068.390804597717,0.0,False
ARACHt_c_e,0.0,-2.0,0.0,False
FACOAL200_rm,0.0,-2.0000000000004547,0.0,False
FACOAL200_l,0.0,-1.9999999999997726,0.0,False
ACACT180i_m,0.0,-2.0,0.0,False
ACACT260i_m,0.0,-2.0,0.0,False
ACACT160i_m,0.0,-2.0,0.0,False
ACACT140i_m,0.0,-2.0,0.0,False
ACACT100i_m,0.0,-2.0,0.0,True
ACACT120i_m,0.0,-2.0,0.0,True
ACACT40i_m,0.0,-2.0,0.0,True
ACACT60i_m,0.0,-2.0,0.0,True
ACACT80i_m,0.0,-2.0,0.0,True
ACACT200i_m,0.0,-2.0,0.0,False
ACACT220i_m,0.0,-2.0,0.0,False
ACACT240i_m,0.0,-2.0,0.0,False
ACACT161bi_m,0.0,-2.0,0.0,False
ACACT141bi_m,0.0,-2.0,0.0,False
ACACT121ai_m,0.0,-2.0,0.0,False
ACACT181ai_m,0.0,-2.0,0.0,False
ACACT161ai_m,0.0,-2.0,0.0,False
ACACT141ai_m,0.0,-2.0,0.0,False
ECOAH180_m,0.0,-2.0,0.0,False
ECOAH161b_m,0.0,-2.0,0.0,False
ECOAH141b_m,0.0,-2.0,0.0,False
ECOAH121a_m,0.0,-2.0,0.0,False
ECOAH181a_m,0.0,-2.0,0.0,False
ECOAH161c_m,0.0,-2.0,0.0,False
ECOAH141c_m,0.0,-2.0,0.0,False
HACD40i_m,0.0,-2.0,0.0,True
HACD60i_m,0.0,-2.0,0.0,True
HACD80i_m,0.0,-2.0,0.0,True
HACD100i_m,0.0,-2.0,0.0,True
HACD120i_m,0.0,-2.0,0.0,True
HACD140i_m,0.0,-2.0,0.0,False
HACD160i_m,0.0,-1.9999999999999574,0.0,False
HACD180i_m,0.0,-2.0,0.0,False
HACD121ai_m,0.0,-2.0,0.0,False
HACD141ai_m,0.0,-2.0,0.0,False
HACD141bi_m,0.0,-2.0000000000000426,0.0,False
HACD161ai_m,0.0,-2.0,0.0,False
HACD161bi_m,0.0,-1.9999999999999574,0.0,False
HACD181ai_m,0.0,-2.0,0.0,False
NADHcplxI_c_m,6.798881352108617,-1.9999999999998863,6.798881352108617,True
PGMT_c,0.1405275233290682,-2.0,0.1405275233290682,False
ATPS_m,6.889956331477283,-2.0,6.889956331477283,False
FECRq9_m,6.861211123873836,-1.999999999999993,6.861211123873836,True
FECOOR_m,3.430605561936918,-2.0,3.430605561936918,False
ACEST1_x,0.0,-2.0,0.0,False
MDH_c,-4.9305116089067145,2.0,4.9305116089067145,False
ASPTAi_m,4.147119301693806,-2.0,4.147119301693806,False
PHYTOED1_c,0.0,-2.0,0.0,True
PHYTOED2_c,0.0,9903.471264367858,0.0,True
PHYTOED3_c,0.0,-2.0,0.0,True
PHYTOED4_c,0.0,-2.0,0.0,True
PHYTOED5_c,0.0,-2.0,0.0,False
CAROMOX1_c,0.0,-2.0,0.0,False
CAROMOX2_c,0.0,-2.0,0.0,False
ZEAEPOX1_c,0.0,-2.0,0.0,False
ZEAEPOX2_c,0.0,-2.0,0.0,False
C3STKR1_c,0.011398316271279501,-2.0,0.011398316271279501,False
