id,type,val,vLB,vUB
'DIL_3mob_m2.f','net',78.31290056,0,10000000
'DIL_akg_c1.f','net',94.6064922,0,10000000
'DIL_akg_c2.f','net',1.00E-07,0,10000000
'DIL_akg_d1.f','net',100,0,10000000
'DIL_akg_d2.f','net',100,0,10000000
'DIL_akg_i1.f','net',1.322943333,0,10000000
'DIL_akg_i2.f','net',2.246039193,0,10000000
'DIL_akg_m1.f','net',4.070564468,0,10000000
'DIL_akg_m2.f','net',97.75396071,0,10000000
'DIL_ala__L_c2.f','net',1.00E-07,0,10000000
'DIL_ala__L_d2.f','net',100,0,10000000
'DIL_ala__L_i2.f','net',3.452841646,0,10000000
'DIL_ala__L_m2.f','net',96.54715825,0,10000000
'DIL_amp_d1.f','net',100,0,10000000
'DIL_amp_d2.f','net',100,0,10000000
'DIL_amp_i1.f','net',0.019089283,0,10000000
'DIL_amp_i2.f','net',1.00E-07,0,10000000
'DIL_ampsyn1_d1.f','net',99.98091072,0,10000000
'DIL_ampsyn1_d2.f','net',99.9999999,0,10000000
'DIL_ampsyn2_d1.f','net',99.98091072,0,10000000
'DIL_ampsyn2_d2.f','net',99.9999999,0,10000000
'DIL_ampsyn3_d1.f','net',199.9618214,0,10000000
'DIL_ampsyn3_d2.f','net',199.9999998,0,10000000
'DIL_ampsyn4_d1.f','net',99.98091072,0,10000000
'DIL_ampsyn4_d2.f','net',99.9999999,0,10000000
'DIL_ampsyn5_d1.f','net',199.9618214,0,10000000
'DIL_ampsyn5_d2.f','net',199.9999998,0,10000000
'DIL_ampsyn6_d1.f','net',99.98091072,0,10000000
'DIL_ampsyn6_d2.f','net',99.9999999,0,10000000
'DIL_arg__L_c1.f','net',99.41957614,0,10000000
'DIL_arg__L_c2.f','net',99.48409778,0,10000000
'DIL_arg__L_d1.f','net',100,0,10000000
'DIL_arg__L_d2.f','net',100,0,10000000
'DIL_arg__L_i1.f','net',0.58042386,0,10000000
'DIL_arg__L_i2.f','net',0.515902221,0,10000000
'DIL_asn__L_c1.f','net',99.9999999,0,10000000
'DIL_asn__L_c2.f','net',86.04963091,0,10000000
'DIL_asn__L_d1.f','net',100,0,10000000
'DIL_asn__L_d2.f','net',100,0,10000000
'DIL_asn__L_i1.f','net',1.00E-07,0,10000000
'DIL_asn__L_i2.f','net',13.95036909,0,10000000
'DIL_asp__L_c1.f','net',60.43813242,0,10000000
'DIL_asp__L_c2.f','net',86.2430523,0,10000000
'DIL_asp__L_d1.f','net',100,0,10000000
'DIL_asp__L_d2.f','net',100,0,10000000
'DIL_asp__L_i1.f','net',1.948657768,0,10000000
'DIL_asp__L_i2.f','net',13.75691909,0,10000000
'DIL_asp__L_m1.f','net',37.61320981,0,10000000
'DIL_asp__L_m2.f','net',2.86E-05,0,10000000
'DIL_cit_c1.f','net',73.311192,0,10000000
'DIL_cit_c2.f','net',1.00E-07,0,10000000
