Rxn,13ppd,2phetoh,3hppa,3hppb,4hbz,arte,btd,btoh,citm,cou,hdca,hxdcol,ibutoh,lac__L,muco,nrgn,odealc,pmtalc,polyhb,retcln,rsvtol,sesqt,skm,stalc,styr,tag
13BDGLUCANt_c_en,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.008894099224708,0.008894099224708,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.008894099224708,0.066705744185311,0.016771200057561
13GS_c,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.008894099224708,0.008894099224708,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.066705744185311,0.008894099224708,0.066705744185311,0.016771200057561
16GS_c,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.002340545928999,0.002340545928999,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.017554094467491,0.002340545928999,0.017554094467491,0.004413461445325
2OBUTt_c_m,0.008926318793542,0.012511187389969,0.011507393836331,0.004244111813701,0.019277784234815,0.007748320866511,0.0041722435152,0.007070815431086,0.003975109977829,0.014559492505516,0.020880373108064,0.011416670753981,0.011931701717926,0.003414565784603,0.014335747883289,0.014434556038782,0.000459221287245,0.00045799544479,0.006202564948057,0.01396951284247,0.014434556038778,0.007315905328454,0.014486570866947,0.000458038088444,0.011290017355175,0.000828649142839
2OXOADPt_c_m,0.076384491701033,0.080665741624786,0.110565327729727,0.02618582771243,0.094731034231001,0.043646052562497,0.025554812470424,0.041547318893962,0.027391391628568,0.093071192003184,0.098601129857695,0.111631930685608,0.10484256420038,0.023799580896757,0.093145836548742,0.093229474165351,0.002819172253159,0.002824662016704,0.0373353773043,0.093427332908792,0.093229474165359,0.042584207168538,0.093182633547923,0.002824411665616,0.071973239778504,0.006872973922925
2PHETOHt_c_e,,-6.34237486254143,,,,,,,,,,,,,,,,,,,,,,,,
3HACD200_rm,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.000155007891686,0.000155007891686,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.000155007891686,0.001162559187644,0.024472065651548
3HACD220_rm,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.000155007891686,0.000155007891686,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.001162559187644,0.000155007891686,0.001162559187644,0.024472065651548
3HACD240_rm,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000119109187621,0.000119109187621,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000893318907154,0.000119109187621,0.000893318907154,0.017676705846506
3HACD260_rm,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,1.2992816545e-05,1.2992816545e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,9.7446124089e-05,1.2992816545e-05,9.7446124089e-05,2.4499965661e-05
3HAD100_c,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,2.119681530896961,2.269016558702569,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.07785480961862,0.087609440765822,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.078073496381328,0.014749204342787,0.362517173932212
3HAD120_c,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,2.119681530896961,2.269016558702569,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.07785480961862,0.087609440765822,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.078073496381328,0.014749204342787,0.362517173932212
3HAD140_c,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,2.119681530896961,2.269016558702569,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.07785480961862,0.087609440765822,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.078073496381328,0.014749204342787,0.362517173932212
3HAD160_c,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,2.119681530896961,2.269016558702569,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.07785480961862,0.087609440765822,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.014749204342787,0.078073496381328,0.014749204342787,0.362517173932212
3HAD180_c,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.077504492670805,0.001616243631224,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.012121827234178,0.077723179433513,0.012121827234178,0.301074366130118
