id	name	uniprot	MW (g/mmol)	type	conc (g/gDW)	vtrans (mmol/gDW/h)	c_avg
A0A0K3C778	A0A0K3C778	A0A0K3C778	93.58153	truedata_enz	4.914e-06	1.995393749172513e-08	1.05e-05
A0A0K3C781	A0A0K3C781	A0A0K3C781	96.75365999999995	truedata_enz	9.5472e-06	3.749662803453639e-08	2.04e-05
A0A0K3C794	A0A0K3C794	A0A0K3C794	88.51605	truedata_enz	2.91096e-05	1.249677092459503e-07	6.22e-05
A0A0K3C7B0	A0A0K3C7B0	A0A0K3C7B0	144.93012000000002	truedata_enz	6.6924e-08	1.7547159969232067e-10	1.43e-07
A0A0K3C7C3	A0A0K3C7C3	A0A0K3C7C3	105.97633999999998	truedata_enz	2.0592000000000002e-05	7.383685830252302e-08	4.4e-05
A0A0K3C7D4	A0A0K3C7D4	A0A0K3C7D4	111.50115	truedata_enz	5.5224e-07	1.8820541312802602e-09	1.18e-06
A0A0K3C7G7	A0A0K3C7G7	A0A0K3C7G7	88.78657	truedata_enz	4.16988e-06	1.7846780205609926e-08	8.91e-06
A0A0K3C7M3	A0A0K3C7M3	A0A0K3C7M3	53.69434	truedata_enz	1.1793600000000002e-07	8.34644396411242e-10	2.5200000000000003e-07
A0A0K3C7R5	A0A0K3C7R5	A0A0K3C7R5	192.76237000000003	truedata_enz	4.8204e-05	9.502643072919262e-08	0.000103
A0A0K3C7R6	A0A0K3C7R6	A0A0K3C7R6	41.471860000000014	truedata_enz	2.6722800000000005e-06	2.4485672935817197e-08	5.71e-06
A0A0K3C7R7	A0A0K3C7R7	A0A0K3C7R7	69.24515	truedata_enz	3.03264e-05	1.6642367010541534e-07	6.48e-05
A0A0K3C7S5	A0A0K3C7S5	A0A0K3C7S5	56.41132	truedata_enz	9.2196e-06	6.210540721259491e-08	1.97e-05
A0A0K3C7W4	A0A0K3C7W4	A0A0K3C7W4	35.936099999999996	truedata_enz	6.9264e-05	7.324200455809063e-07	0.000148
A0A0K3C7W5	A0A0K3C7W5	A0A0K3C7W5	57.99129	truedata_enz	3.7018800000000004e-06	2.4257339334924264e-08	7.91e-06
