id	name	uniprot	MW (g/mmol)	type	conc (g/gDW)	vtrans (mmol/gDW/h)	c_avg
A0A0K3CBN3	A0A0K3CBN3	A0A0K3CBN3	27.08682	truedata_enz	8.7984e-06	1.2343242949892237e-07	1.88e-05
A0A0K3CBP0	A0A0K3CBP0	A0A0K3CBP0	45.13999000000001	truedata_enz	7.3008e-05	6.14600047540994e-07	0.000156
A0A0K3CBP7	A0A0K3CBP7	A0A0K3CBP7	33.69799	truedata_enz	2.1574800000000002e-05	2.432911873972306e-07	4.61e-05
A0A0K3CBQ1	A0A0K3CBQ1	A0A0K3CBQ1	178.33111000000002	truedata_enz	6.318e-07	1.3462822050510424e-09	1.35e-06
A0A0K3CBS0	A0A0K3CBS0	A0A0K3CBS0	92.96196	truedata_enz	1.91412e-05	7.824335889647766e-08	4.09e-05
A0A0K3CBS2	A0A0K3CBS2	A0A0K3CBS2	52.59714	truedata_enz	1.04364e-05	7.540014533109595e-08	2.23e-05
A0A0K3CBS9	A0A0K3CBS9	A0A0K3CBS9	143.57288	truedata_enz	1.1934000000000001e-05	3.1586188143610416e-08	2.55e-05
A0A0K3CBT7	A0A0K3CBT7	A0A0K3CBT7	41.55358	truedata_enz	1.57716e-06	1.4422843952314098e-08	3.37e-06
A0A0K3CBU5	A0A0K3CBU5	A0A0K3CBU5	30.80702	truedata_enz	1.1512800000000001e-05	1.420086720494225e-07	2.46e-05
A0A0K3CBU6	A0A0K3CBU6	A0A0K3CBU6	75.11655999999998	truedata_enz	3.3602400000000003e-06	1.6998797602020118e-08	7.18e-06
A0A0K3CBV4	A0A0K3CBV4	A0A0K3CBV4	69.43594999999999	truedata_enz	1.2682800000000002e-05	6.940877168095203e-08	2.71e-05
A0A0K3CBY6	A0A0K3CBY6	A0A0K3CBY6	121.26122	truedata_enz	2.1528e-05	6.74629531188949e-08	4.6e-05
A0A0K3CBZ4	A0A0K3CBZ4	A0A0K3CBZ4	27.73795	truedata_enz	5.5692e-07	7.629604927545115e-09	1.19e-06
A0A0K3CBZ6	A0A0K3CBZ6	A0A0K3CBZ6	21.63335	truedata_enz	2.2464e-06	3.9459075917507005e-08	4.8e-06
A0A0K3CC04	A0A0K3CC04	A0A0K3CC04	65.01341	truedata_enz	1.2027600000000002e-05	7.030069642555284e-08	2.57e-05
A0A0K3CC10	A0A0K3CC10	A0A0K3CC10	98.00941	truedata_enz	8.0028e-07	3.102828595744021e-09	1.71e-06
A0A0K3CC33	A0A0K3CC33	A0A0K3CC33	37.92162	truedata_enz	3.43512e-05	3.4422200317391504e-07	7.34e-05
A0A0K3CC34	A0A0K3CC34	A0A0K3CC34	35.03142	truedata_enz	0.000121212	1.3148356532507105e-06	0.000259
A0A0K3CC36	A0A0K3CC36	A0A0K3CC36	59.76483	truedata_enz	1.5518880000000002e-06	9.867298877952134e-09	3.316e-06
A0A0K3CC54	A0A0K3CC54	A0A0K3CC54	57.00234	truedata_enz	6.2712e-05	4.180628374203586e-07	0.000134
A0A0K3CC55	A0A0K3CC55	A0A0K3CC55	81.2337	truedata_enz	2.1434400000000004e-06	1.002671551338915e-08	4.58e-06
A0A0K3CC70	A0A0K3CC70	A0A0K3CC70	28.93211999999999	truedata_enz	1.34316e-06	1.7641320442470178e-08	2.87e-06
A0A0K3CC76	A0A0K3CC76	A0A0K3CC76	45.659	truedata_enz	3.56148e-05	2.9640649160077974e-07	7.61e-05
A0A0K3CC84	A0A0K3CC84	A0A0K3CC84	17.32567	truedata_enz	3.57552e-05	7.842107116203876e-07	7.64e-05
A0A0K3CC85	A0A0K3CC85	A0A0K3CC85	28.83186999999999	truedata_enz	4.34304e-06	5.7240657647249397e-08	9.28e-06
A0A0K3CC88	A0A0K3CC88	A0A0K3CC88	102.40411	truedata_enz	1.8252e-05	6.772931281762031e-08	3.9e-05
