rxnid	dir	min	max	median	all_kapps
TRDR_c	FWD	2.338865780449824	2.338865780449824	2.338865780449824	[2.338865780449824]
CHORM_c	FWD	10.273985529903769	10.273985529903769	10.273985529903769	[10.273985529903769]
ACOTAi_m	FWD	64.1131240953817	64.1131240953817	64.1131240953817	[64.1131240953817]
ALATA_L_m	REV	26.75199399413997	26.75199399413997	26.75199399413997	[26.75199399413997]
ICDHx_m	FWD	226.68133518012698	226.68133518012698	226.68133518012698	[226.68133518012698]
ATPS_m	FWD	943.3494651448605	943.3494651448605	943.3494651448605	[943.3494651448605]
AIRC1_c	FWD	5.291473466758158	5.291473466758158	5.291473466758158	[5.291473466758158]
P5CR_c	FWD	13.167005362557745	13.167005362557745	13.167005362557745	[13.167005362557745]
SUCOAS_m	FWD	35.095945443380245	35.095945443380245	35.095945443380245	[35.095945443380245]
THRS_c	FWD	6.573617407994776	6.573617407994776	6.573617407994776	[6.573617407994776]
TALA_c	FWD	2.6993510126909923	2.6993510126909923	2.6993510126909923	[2.6993510126909923]
PKETX_c	FWD	114.07150371386282	114.07150371386282	114.07150371386282	[114.07150371386282]
DB4PS_c	FWD	0.0268680869447953	0.0268680869447953	0.0268680869447953	[0.0268680869447953]
PRMICI_c	FWD	5.788180749833351	5.788180749833351	5.788180749833351	[5.788180749833351]
HMGCOAR_c	FWD	84.84925180626439	84.84925180626439	84.84925180626439	[84.84925180626439]
XYLTOR_c	REV	6.335789226959195e-15	6.335789226959195e-15	6.335789226959195e-15	[6.335789226959195e-15]
ETFOXRq9_m	REV	1.7808212349801558e-16	1.7808212349801558e-16	1.7808212349801558e-16	[1.7808212349801558e-16]
H2Ot_c_e	REV	246509208413.30618	246509208413.30618	246509208413.30618	[246509208413.30618]
NH4t_c_e	FWD	731.569002850263	731.569002850263	731.569002850263	[731.569002850263]
ATPPRT_c	FWD	0.9804454098982074	0.9804454098982074	0.9804454098982074	[0.9804454098982074]
GLU5K_c	FWD	47.095276008323225	47.095276008323225	47.095276008323225	[47.095276008323225]
OCBT_c	FWD	3.8620240437886366	3.8620240437886366	3.8620240437886366	[3.8620240437886366]
SQLEy_r	FWD	18.931440462786288	18.931440462786288	18.931440462786288	[18.931440462786288]
FDH_c	FWD	28003902492.716286	28003902492.716286	28003902492.716286	[28003902492.716286]
LNS14DMy_c	FWD	3.428206405225515	3.428206405225515	3.428206405225515	[3.428206405225515]
SO3R_c	FWD	6.779092806098067	6.779092806098067	6.779092806098067	[6.779092806098067]
ANPRT_c	FWD	154.29554177187313	154.29554177187313	154.29554177187313	[154.29554177187313]
MAN6PI_c	REV	9.97500382950348	9.97500382950348	9.97500382950348	[9.97500382950348]
PPNDH_c	FWD	97.33567812016157	97.33567812016157	97.33567812016157	[97.33567812016157]
ASPTRS_c	FWD	2.9659040032095945	2.9659040032095945	2.9659040032095945	[2.9659040032095945]
G5SDy_c	FWD	4.070952587925481	4.070952587925481	4.070952587925481	[4.070952587925481]
PAP_rm	FWD	4.884659416449134	4.884659416449134	4.884659416449134	[4.884659416449134]
NACt_c_e	FWD	7.926649031582271	7.926649031582271	7.926649031582271	[7.926649031582271]
ENO_c	FWD	27.184029426073153	27.184029426073153	27.184029426073153	[27.184029426073153]
AHCi_c	FWD	1.0340207578131873	1.0340207578131873	1.0340207578131873	[1.0340207578131873]
PGI_c	FWD	30.132291985961803	30.132291985961803	30.132291985961803	[30.132291985961803]
C14STR_c	FWD	18.318358750395937	18.318358750395937	18.318358750395937	[18.318358750395937]
IG3PS_c	FWD	2.292865120745817	2.292865120745817	2.292865120745817	[2.292865120745817]
PPBNGS_1_c	FWD	0.04885445248364055	0.04885445248364055	0.04885445248364055	[0.04885445248364055]
SUCDq9_m	FWD	415.8701487500458	415.8701487500458	415.8701487500458	[415.8701487500458]
OMPDC_c	FWD	3.7722820278679876	3.7722820278679876	3.7722820278679876	[3.7722820278679876]
DOLPMT_c	FWD	144.4207204344719	144.4207204344719	144.4207204344719	[144.4207204344719]
TMDS_c	FWD	0.27117720380319565	0.27117720380319565	0.27117720380319565	[0.27117720380319565]
GLNTRS_c	FWD	5.343270230614796	5.343270230614796	5.343270230614796	[5.343270230614796]
METS_c	FWD	0.30949768994792487	0.30949768994792487	0.30949768994792487	[0.30949768994792487]
MTHFD2i_c	FWD	402.60562484530453	402.60562484530453	402.60562484530453	[402.60562484530453]
PPPGO_m	FWD	0.0075618139285033035	0.0075618139285033035	0.0075618139285033035	[0.0075618139285033035]
PRPPS_c	FWD	40.6564341478474	40.6564341478474	40.6564341478474	[40.6564341478474]
PDH_m	FWD	179.81347830260592	179.81347830260592	179.81347830260592	[179.81347830260592]
GLNS_c	FWD	79.00631533559495	79.00631533559495	79.00631533559495	[79.00631533559495]
ORPT_c	REV	5.108058631214096	5.108058631214096	5.108058631214096	[5.108058631214096]
MAN1PT_c	FWD	3.0006892774998652	3.0006892774998652	3.0006892774998652	[3.0006892774998652]
M1PS_c	FWD	0.054282382027482694	0.054282382027482694	0.054282382027482694	[0.054282382027482694]
LEUTRS_c	FWD	4.94632569118064	4.94632569118064	4.94632569118064	[4.94632569118064]
13GS_c	FWD	155.88086966364062	155.88086966364062	155.88086966364062	[155.88086966364062]
ASPK_c	FWD	12.408748849962032	12.408748849962032	12.408748849962032	[12.408748849962032]
DHORDfum_c	FWD	6.670734500418723	6.670734500418723	6.670734500418723	[6.670734500418723]
MDH_m	FWD	37.363643228893125	37.363643228893125	37.363643228893125	[37.363643228893125]
PYDX5PS_c	FWD	493727.4357554508	493727.4357554508	493727.4357554508	[493727.4357554508]
GLUPRT_c	FWD	6.47068741671229	6.47068741671229	6.47068741671229	[6.47068741671229]
PMANM_c	REV	6.297605862218927	6.297605862218927	6.297605862218927	[6.297605862218927]
ORNTACi_m	FWD	56.67072727910312	56.67072727910312	56.67072727910312	[56.67072727910312]
SQLS_c	FWD	2.4521954612739676	2.4521954612739676	2.4521954612739676	[2.4521954612739676]
ADSS_c	FWD	3.650458652653663	3.650458652653663	3.650458652653663	[3.650458652653663]
TRPS1_c	FWD	1.1985768326327642	1.1985768326327642	1.1985768326327642	[1.1985768326327642]
MDH_c	REV	39.22943435895567	39.22943435895567	39.22943435895567	[39.22943435895567]
ACGAMPM_c	FWD	0.8565459705856463	0.8565459705856463	0.8565459705856463	[0.8565459705856463]
DHORTS_c	REV	8.078614887022797	8.078614887022797	8.078614887022797	[8.078614887022797]
ACCOATsucac_m	FWD	69.09736632264851	69.09736632264851	69.09736632264851	[69.09736632264851]
ALATRS_c	FWD	10.759522434091211	10.759522434091211	10.759522434091211	[10.759522434091211]
PHETRS_c	FWD	7.093343894580491	7.093343894580491	7.093343894580491	[7.093343894580491]
ASPTA_c	REV	6.270688579066273	6.270688579066273	6.270688579066273	[6.270688579066273]
HISTP_c	FWD	32.005913468225806	32.005913468225806	32.005913468225806	[32.005913468225806]
NAMNPP_c	FWD	0.0894926164123737	0.0894926164123737	0.0894926164123737	[0.0894926164123737]
FE3t_c_e	FWD	9.504068615645877e-05	9.504068615645877e-05	9.504068615645877e-05	[9.504068615645877e-05]
ASNS1_c	FWD	1.0253839728087804	1.0253839728087804	1.0253839728087804	[1.0253839728087804]
ICDHyi_m	FWD	1.2818397053293729	1.2818397053293729	1.2818397053293729	[1.2818397053293729]
TRPTRS_c	FWD	0.9770457193849579	0.9770457193849579	0.9770457193849579	[0.9770457193849579]
ALAS_m	FWD	0.050809706748115066	0.050809706748115066	0.050809706748115066	[0.050809706748115066]
GMPS2_c	FWD	1.2038158080108223	1.2038158080108223	1.2038158080108223	[1.2038158080108223]
IPDDI_c	FWD	4.395118358551978	4.395118358551978	4.395118358551978	[4.395118358551978]
HSTPT_c	FWD	2.5681984365868953	2.5681984365868953	2.5681984365868953	[2.5681984365868953]
UPP3MT_2_c	FWD	0.002898827640221925	0.002898827640221925	0.002898827640221925	[0.002898827640221925]
THRTRS_c	FWD	4.2283093469503985	4.2283093469503985	4.2283093469503985	[4.2283093469503985]
PNTOtps_e	FWD	0.15448325548725528	0.15448325548725528	0.15448325548725528	[0.15448325548725528]
GLYCL_m	FWD	135.23974185240394	135.23974185240394	135.23974185240394	[135.23974185240394]
SUCFUMt_c_m	FWD	87.07930640666538	87.07930640666538	87.07930640666538	[87.07930640666538]
HICITD_m	FWD	1.5069176933612374	1.5069176933612374	1.5069176933612374	[1.5069176933612374]
TYRTRS_c	FWD	2.9061614725055103	2.9061614725055103	2.9061614725055103	[2.9061614725055103]
ADPATPt_c_m	FWD	184.49114343823277	184.49114343823277	184.49114343823277	[184.49114343823277]
UPP3S_c	FWD	114801.90445846066	114801.90445846066	114801.90445846066	[114801.90445846066]
PNTK_c	FWD	0.000495352482148354	0.000495352482148354	0.000495352482148354	[0.000495352482148354]
DHFRi_c	FWD	0.17660507185315205	0.17660507185315205	0.17660507185315205	[0.17660507185315205]
ACCOAC_c	FWD	40.77093463087804	40.77093463087804	40.77093463087804	[40.77093463087804]
CDPDAGS_rm	FWD	9.191291536020742	9.191291536020742	9.191291536020742	[9.191291536020742]
PPCDC_c	FWD	8758.094861886902	8758.094861886902	8758.094861886902	[8758.094861886902]
IPMD_c	FWD	4.449449462801465	4.449449462801465	4.449449462801465	[4.449449462801465]
ILETRS_c	FWD	4.205601589832177	4.205601589832177	4.205601589832177	[4.205601589832177]
UMPK_c	FWD	8.422520104435987	8.422520104435987	8.422520104435987	[8.422520104435987]
LYSTRS_c	FWD	3.3084801865236875	3.3084801865236875	3.3084801865236875	[3.3084801865236875]
IGPDH_c	FWD	7.059946361400228	7.059946361400228	7.059946361400228	[7.059946361400228]
ASAD_c	FWD	4.706438368863372	4.706438368863372	4.706438368863372	[4.706438368863372]
C22STDSy_c	FWD	3.028960067135443	3.028960067135443	3.028960067135443	[3.028960067135443]
GLUTRS_c	FWD	6.232556371016141	6.232556371016141	6.232556371016141	[6.232556371016141]
AFAT_c	FWD	0.021474793935075863	0.021474793935075863	0.021474793935075863	[0.021474793935075863]
