Rxn,13ppd,2phetoh,3hppa,3hppb,4hbz,arte,btd,btoh,citm,cou,hdca,hxdcol,ibutoh,lac__L,muco,nrgn,polyhb,retcln,rsvtol,sesqt,skm,styr
ICDHx_m,3.892301114495682,0.965538657179974,0.452941603889831,2.651379814722397,0.452847712822384,0.452896022229542,0.401290275625376,0.452953396872035,0.452870014489328,0.97347789359619,0.452913171058872,0.452920476843988,0.45279536580581,2.723857299553459,0.452844115151898,0.4528609319583,0.452986652336251,2.809978658719162,0.452860931958225,0.452915782001276,0.452840696820262,1.589410125740686
IG3PS_c,0.035146944750392,0.03514287198042,0.035149437245974,0.035154165803265,0.035142551400099,0.035146034516161,0.03114191780571,0.035150479331064,0.035144034658335,0.03514277743799,0.035147351456921,0.035147899269229,0.035138675075562,0.035139122418883,0.035142258153865,0.035143506572514,0.035153206904807,0.035143445123324,0.035143506572834,0.035147443563217,0.03514202248037,0.035143292115594
IGPDH_c,0.035146944750392,0.03514287198042,0.035149437245974,0.035154165803265,0.035142551400099,0.035146034516161,0.03114191780571,0.035150479331064,0.035144034658335,0.03514277743799,0.035147351456921,0.035147899269229,0.035138675075562,0.035139122418883,0.035142258153865,0.035143506572514,0.035153206904807,0.035143445123324,0.035143506572834,0.035147443563217,0.03514202248037,0.035143292115594
IGPS_c,0.020617949816013,0.020615572203264,0.020619404891876,0.020622165341933,0.020615385054114,0.020617418436994,0.018279884275261,0.020620013242888,0.020616250954546,0.020615517010492,0.020618187244253,0.020618507047627,0.02061312212271,0.020613383274013,0.020615213861993,0.020615942667167,0.020621605553578,0.02063322703735,0.020615942667622,0.020618241014323,0.020615076279798,0.020615817470926
ILETA_m,-0.056526653077814,-0.056520102862514,-0.056530661745824,-0.056538266660542,-0.056519587274785,-0.056525189152715,-0.05008538854466,-0.056532337725992,-0.056521972791513,-0.056519950810402,-0.056527307181864,-0.056528188225621,-0.056513353001705,-0.056514072461698,-0.056519115648377,-0.05652112347376,-0.056536724469017,-0.056521024645349,-0.056521123473785,-0.056527455315953,-0.05651873661589,-0.056520778563785
ILETRS_c,0.056526653077814,0.056520102862514,0.056530661745824,0.056538266660542,0.056519587274785,0.056525189152715,0.05008538854466,0.056532337725992,0.056521972791513,0.056519950810402,0.056527307181864,0.056528188225621,0.056513353001705,0.056514072461698,0.056519115648377,0.05652112347376,0.056536724469017,0.056521024645349,0.056521123473785,0.056527455315953,0.05651873661589,0.056520778563785
ILEt_c_m,0.056526653077814,0.056520102862514,0.056530661745824,0.056538266660542,0.056519587274785,0.056525189152715,0.05008538854466,0.056532337725992,0.056521972791513,0.056519950810402,0.056527307181864,0.056528188225621,0.056513353001705,0.056514072461698,0.056519115648377,0.05652112347376,0.056536724469017,0.056521024645349,0.056521123473785,0.056527455315953,0.05651873661589,0.056520778563785
IMPC_c,0.055088832836847,0.055092597658365,0.05509075177994,0.055094582137546,0.055094933105777,0.055086658917463,0.050946605243799,0.055092422462834,0.055083965198553,0.055092038962592,0.055088424554619,0.05508909546236,0.055078835629727,0.055079773477187,0.055082603609972,0.05509040678334,0.055098885800969,0.055109167736167,0.055090406783341,0.055088027452289,0.055082416521995,0.055092804848394
IMPD_c,0.010628165005968,0.010636634516578,0.010627819049893,0.010627405438994,0.010639314589856,0.010627484558791,0.01070190702117,0.010628158389171,0.01062713763338,0.01063619792026,0.010627708726504,0.010627768829922,0.010627291676843,0.010627568757111,0.010627367313804,0.010633808084009,0.010630044787572,0.01063249782942,0.010633808083858,0.01062745289396,0.010627394415542,0.010636390229457
INOSTt_c_rm,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112303,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304
INOSTtps_e,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112303,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304,0.000948923112304
IPDDI_c,0.010426867345075,0.010426867895862,0.010426869572008,0.010426868463533,0.010426867974391,1.40351311367769,0.010426865886104,0.010426869066056,0.010426868961244,0.010426867909683,0.010426869090451,0.01042686916685,0.01042686723227,0.010426866132602,0.010426868030403,0.010426868256353,0.010426868480858,0.010426867263902,0.01042686825635,1.453099391785458,0.010426867912335,0.01042686780689
IPDPt_c_l,0.0,,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,-0.0,0.0,,,-0.0
IPMD_c,0.147959022733398,0.14794187748595,0.147969515457963,0.147989421390622,0.147940527930494,0.147955190896289,0.131098954896361,0.147973902351156,0.14794677204192,0.1479414794867,0.147960734856633,0.147963040996588,0.147924209664586,0.147926092857596,0.14793929344407,0.147944548945081,0.147985384690441,0.147944290260791,0.147944548945091,0.147961122598943,0.147938301323126,0.147943646140104
IPPMIa_c,-0.147959022733398,-0.14794187748595,-0.147969515457963,-0.147989421390622,-0.147940527930494,-0.147955190896289,-0.131098954896361,-0.147973902351156,-0.14794677204192,-0.1479414794867,-0.147960734856633,-0.147963040996588,-0.147924209664586,-0.147926092857596,-0.14793929344407,-0.147944548945081,-0.147985384690441,-0.147944290260791,-0.147944548945091,-0.147961122598943,-0.147938301323126,-0.147943646140104
IPPMIb_c,-0.147959022733398,-0.14794187748595,-0.147969515457963,-0.147989421390622,-0.147940527930494,-0.147955190896289,-0.131098954896361,-0.147973902351156,-0.14794677204192,-0.1479414794867,-0.147960734856633,-0.147963040996588,-0.147924209664586,-0.147926092857596,-0.14793929344407,-0.147944548945081,-0.147985384690441,-0.147944290260791,-0.147944548945091,-0.147961122598943,-0.147938301323126,-0.147943646140104
IPPS_c,0.147959022733398,0.14794187748595,0.147969515457963,0.147989421390622,0.147940527930494,0.147955190896289,0.131098954896361,0.147973902351156,0.14794677204192,0.1479414794867,0.147960734856633,0.147963040996588,0.147924209664586,0.147926092857596,0.14793929344407,0.147944548945081,0.147985384690441,0.147944290260791,0.147944548945091,0.147961122598943,0.147938301323126,0.147943646140104
